Year,SERIES,UNIT_MEASURE,Value
2001,"Стопа сиромаштва према прагу од 8,30 USD дневно (ПКМ за 2021. годину) (% становништва) - замјенски индикатор",Проценат укупног становништва,1.6
2004,"Стопа сиромаштва према прагу од 8,30 USD дневно (ПКМ за 2021. годину) (% становништва) - замјенски индикатор",Проценат укупног становништва,0.9
2007,"Стопа сиромаштва према прагу од 8,30 USD дневно (ПКМ за 2021. годину) (% становништва) - замјенски индикатор",Проценат укупног становништва,2.4
2011,"Стопа сиромаштва према прагу од 8,30 USD дневно (ПКМ за 2021. годину) (% становништва) - замјенски индикатор",Проценат укупног становништва,2.5
2015,"Стопа сиромаштва према прагу од 8,30 USD дневно (ПКМ за 2021. годину) (% становништва) - замјенски индикатор",Проценат укупног становништва,3.0
2021,"Стопа сиромаштва према прагу од 8,30 USD дневно (ПКМ за 2021. годину) (% становништва) - замјенски индикатор",Проценат укупног становништва,1.0
