Year,SERIES,Procentualni udio prihoda podijeljenih na kvintile (%),UNIT_MEASURE,Value
2001,Gini indeks - zamjenski indikator,Udio prihoda drugog kvintila (20%),Procenat,13.3
2004,Gini indeks - zamjenski indikator,Udio prihoda drugog kvintila (20%),Procenat,12.1
2007,Gini indeks - zamjenski indikator,Udio prihoda drugog kvintila (20%),Procenat,12.2
2011,Gini indeks - zamjenski indikator,Udio prihoda drugog kvintila (20%),Procenat,12.3
2001,Gini indeks - zamjenski indikator,Udio prihoda trećeg kvintila (20%),Procenat,17.0
2004,Gini indeks - zamjenski indikator,Udio prihoda trećeg kvintila (20%),Procenat,16.3
2007,Gini indeks - zamjenski indikator,Udio prihoda trećeg kvintila (20%),Procenat,16.6
2011,Gini indeks - zamjenski indikator,Udio prihoda trećeg kvintila (20%),Procenat,16.7
2001,Gini indeks - zamjenski indikator,Udio prihoda četvrtog kvintila (20%),Procenat,22.1
2004,Gini indeks - zamjenski indikator,Udio prihoda četvrtog kvintila (20%),Procenat,22.4
2007,Gini indeks - zamjenski indikator,Udio prihoda četvrtog kvintila (20%),Procenat,23.0
2011,Gini indeks - zamjenski indikator,Udio prihoda četvrtog kvintila (20%),Procenat,22.0
2001,Gini indeks - zamjenski indikator,Udio prihoda najbogatijih 20%,Procenat,38.8
2004,Gini indeks - zamjenski indikator,Udio prihoda najbogatijih 20%,Procenat,41.8
2007,Gini indeks - zamjenski indikator,Udio prihoda najbogatijih 20%,Procenat,40.7
2011,Gini indeks - zamjenski indikator,Udio prihoda najbogatijih 20%,Procenat,40.7
2001,Gini indeks - zamjenski indikator,Udio prihoda najbogatijih 10%,Procenat,24.8
2004,Gini indeks - zamjenski indikator,Udio prihoda najbogatijih 10%,Procenat,26.4
2007,Gini indeks - zamjenski indikator,Udio prihoda najbogatijih 10%,Procenat,25.1
2011,Gini indeks - zamjenski indikator,Udio prihoda najbogatijih 10%,Procenat,25.1
2001,Gini indeks - zamjenski indikator,Udio prihoda najsiromašnijih 10%,Procenat,3.6
2004,Gini indeks - zamjenski indikator,Udio prihoda najsiromašnijih 10%,Procenat,2.9
2007,Gini indeks - zamjenski indikator,Udio prihoda najsiromašnijih 10%,Procenat,3.0
2011,Gini indeks - zamjenski indikator,Udio prihoda najsiromašnijih 10%,Procenat,2.9
2001,Gini indeks - zamjenski indikator,Udio prihoda najsiromašnijih 20%,Procenat,8.8
2004,Gini indeks - zamjenski indikator,Udio prihoda najsiromašnijih 20%,Procenat,7.4
2007,Gini indeks - zamjenski indikator,Udio prihoda najsiromašnijih 20%,Procenat,7.5
2011,Gini indeks - zamjenski indikator,Udio prihoda najsiromašnijih 20%,Procenat,7.5
