Year,SERIES,Sex,UNIT_MEASURE,Value
2012,Standardised death rate due to homicide,Both sexes,"Rate per 100,000 population",1.8
2013,Standardised death rate due to homicide,Both sexes,"Rate per 100,000 population",1.7
2014,Standardised death rate due to homicide,Both sexes,"Rate per 100,000 population",1.7
2015,Standardised death rate due to homicide,Both sexes,"Rate per 100,000 population",1.7
2016,Standardised death rate due to homicide,Both sexes,"Rate per 100,000 population",1.6
2017,Standardised death rate due to homicide,Both sexes,"Rate per 100,000 population",1.6
2018,Standardised death rate due to homicide,Both sexes,"Rate per 100,000 population",1.5
2019,Standardised death rate due to homicide,Both sexes,"Rate per 100,000 population",1.5
2020,Standardised death rate due to homicide,Both sexes,"Rate per 100,000 population",1.4
2021,Standardised death rate due to homicide,Both sexes,"Rate per 100,000 population",1.4
2012,Standardised death rate due to homicide,Male,"Rate per 100,000 population",2.7
2013,Standardised death rate due to homicide,Male,"Rate per 100,000 population",2.6
2014,Standardised death rate due to homicide,Male,"Rate per 100,000 population",2.6
2015,Standardised death rate due to homicide,Male,"Rate per 100,000 population",2.6
2016,Standardised death rate due to homicide,Male,"Rate per 100,000 population",2.4
2017,Standardised death rate due to homicide,Male,"Rate per 100,000 population",2.4
2018,Standardised death rate due to homicide,Male,"Rate per 100,000 population",2.3
2019,Standardised death rate due to homicide,Male,"Rate per 100,000 population",2.2
2020,Standardised death rate due to homicide,Male,"Rate per 100,000 population",2.0
2021,Standardised death rate due to homicide,Male,"Rate per 100,000 population",2.0
2012,Standardised death rate due to homicide,Female,"Rate per 100,000 population",0.9
2013,Standardised death rate due to homicide,Female,"Rate per 100,000 population",0.9
2014,Standardised death rate due to homicide,Female,"Rate per 100,000 population",0.9
2015,Standardised death rate due to homicide,Female,"Rate per 100,000 population",0.9
2016,Standardised death rate due to homicide,Female,"Rate per 100,000 population",0.9
2017,Standardised death rate due to homicide,Female,"Rate per 100,000 population",0.8
2018,Standardised death rate due to homicide,Female,"Rate per 100,000 population",0.8
2019,Standardised death rate due to homicide,Female,"Rate per 100,000 population",0.8
2020,Standardised death rate due to homicide,Female,"Rate per 100,000 population",0.8
2021,Standardised death rate due to homicide,Female,"Rate per 100,000 population",0.8
