Year,SERIES,COMPOSITE_BREAKDOWN,Sex,UNIT_MEASURE,Value
2018,Seats held by women in national parliaments and governments,National parliament,Female,Percentage of women,21.1
2019,Seats held by women in national parliaments and governments,National parliament,Female,Percentage of women,21.1
2020,Seats held by women in national parliaments and governments,National parliament,Female,Percentage of women,24.6
2021,Seats held by women in national parliaments and governments,National parliament,Female,Percentage of women,24.6
2022,Seats held by women in national parliaments and governments,National parliament,Female,Percentage of women,24.6
2023,Seats held by women in national parliaments and governments,National parliament,Female,Percentage of women,21.1
2025,Seats held by women in national parliaments and governments,National parliament,Female,Percentage of women,26.3
2018,Seats held by women in national parliaments and governments,National government,Female,Percentage of women,10.0
2019,Seats held by women in national parliaments and governments,National government,Female,Percentage of women,11.1
2020,Seats held by women in national parliaments and governments,National government,Female,Percentage of women,15.0
2021,Seats held by women in national parliaments and governments,National government,Female,Percentage of women,15.0
2022,Seats held by women in national parliaments and governments,National government,Female,Percentage of women,16.7
2023,Seats held by women in national parliaments and governments,National government,Female,Percentage of women,25.0
2025,Seats held by women in national parliaments and governments,National government,Female,Percentage of women,16.3
