Year,SERIES,UNIT_MEASURE,Value
2014,Energetska produktivnost,Euro po kilogramu ekvivalenta nafte (KGOE),2.24
2015,Energetska produktivnost,Euro po kilogramu ekvivalenta nafte (KGOE),2.27
2016,Energetska produktivnost,Euro po kilogramu ekvivalenta nafte (KGOE),2.14
2017,Energetska produktivnost,Euro po kilogramu ekvivalenta nafte (KGOE),2.21
2018,Energetska produktivnost,Euro po kilogramu ekvivalenta nafte (KGOE),2.08
2019,Energetska produktivnost,Euro po kilogramu ekvivalenta nafte (KGOE),2.21
2020,Energetska produktivnost,Euro po kilogramu ekvivalenta nafte (KGOE),2.18
2021,Energetska produktivnost,Euro po kilogramu ekvivalenta nafte (KGOE),2.26
2022,Energetska produktivnost,Euro po kilogramu ekvivalenta nafte (KGOE),2.37
2023,Energetska produktivnost,Euro po kilogramu ekvivalenta nafte (KGOE),2.54
2024,Energetska produktivnost,Euro po kilogramu ekvivalenta nafte (KGOE),2.64
2014,Energetska produktivnost,Standard kupovne moći (PPS) po kilogramu ekvivalenta nafte,4.75
2015,Energetska produktivnost,Standard kupovne moći (PPS) po kilogramu ekvivalenta nafte,4.85
2016,Energetska produktivnost,Standard kupovne moći (PPS) po kilogramu ekvivalenta nafte,4.6
2017,Energetska produktivnost,Standard kupovne moći (PPS) po kilogramu ekvivalenta nafte,4.75
2018,Energetska produktivnost,Standard kupovne moći (PPS) po kilogramu ekvivalenta nafte,4.56
2019,Energetska produktivnost,Standard kupovne moći (PPS) po kilogramu ekvivalenta nafte,4.94
2020,Energetska produktivnost,Standard kupovne moći (PPS) po kilogramu ekvivalenta nafte,4.85
2021,Energetska produktivnost,Standard kupovne moći (PPS) po kilogramu ekvivalenta nafte,5.13
2022,Energetska produktivnost,Standard kupovne moći (PPS) po kilogramu ekvivalenta nafte,5.86
2023,Energetska produktivnost,Standard kupovne moći (PPS) po kilogramu ekvivalenta nafte,6.69
2024,Energetska produktivnost,Standard kupovne moći (PPS) po kilogramu ekvivalenta nafte,7.21
