Year,Value,UNIT_MEASURE,SERIES
2014,3.1,Milijun tona ekvivalenta nafte,Konačna potrošnja energije
2015,3.3,Milijun tona ekvivalenta nafte,Konačna potrošnja energije
2016,3.6,Milijun tona ekvivalenta nafte,Konačna potrošnja energije
2017,3.5,Milijun tona ekvivalenta nafte,Konačna potrošnja energije
2018,4.2,Milijun tona ekvivalenta nafte,Konačna potrošnja energije
2019,4.2,Milijun tona ekvivalenta nafte,Konačna potrošnja energije
2020,4.0,Milijun tona ekvivalenta nafte,Konačna potrošnja energije
2021,4.3,Milijun tona ekvivalenta nafte,Konačna potrošnja energije
2022,4.3,Milijun tona ekvivalenta nafte,Konačna potrošnja energije
2023,4.2,Milijun tona ekvivalenta nafte,Konačna potrošnja energije
2024,4.4,Milijun tona ekvivalenta nafte,Konačna potrošnja energije
2014,0.81,Tone ekvivalenta nafte (TOE) po stanovniku,Konačna potrošnja energije
2015,0.9,Tone ekvivalenta nafte (TOE) po stanovniku,Konačna potrošnja energije
2016,1.01,Tone ekvivalenta nafte (TOE) po stanovniku,Konačna potrošnja energije
2017,1.0,Tone ekvivalenta nafte (TOE) po stanovniku,Konačna potrošnja energije
2018,1.21,Tone ekvivalenta nafte (TOE) po stanovniku,Konačna potrošnja energije
2022,1.25,Tone ekvivalenta nafte (TOE) po stanovniku,Konačna potrošnja energije
2023,1.22,Tone ekvivalenta nafte (TOE) po stanovniku,Konačna potrošnja energije
2024,1.28,Tone ekvivalenta nafte (TOE) po stanovniku,Konačna potrošnja energije
