Year,Value,UNIT_MEASURE,SERIES
2010,6311,Broj,"Prerane smrti zbog izloženosti finim česticama (PM2,5)"
2011,6868,Broj,"Prerane smrti zbog izloženosti finim česticama (PM2,5)"
2012,5127,Broj,"Prerane smrti zbog izloženosti finim česticama (PM2,5)"
2013,4002,Broj,"Prerane smrti zbog izloženosti finim česticama (PM2,5)"
2014,3899,Broj,"Prerane smrti zbog izloženosti finim česticama (PM2,5)"
2015,5048,Broj,"Prerane smrti zbog izloženosti finim česticama (PM2,5)"
2016,6999,Broj,"Prerane smrti zbog izloženosti finim česticama (PM2,5)"
2017,5888,Broj,"Prerane smrti zbog izloženosti finim česticama (PM2,5)"
2018,6864,Broj,"Prerane smrti zbog izloženosti finim česticama (PM2,5)"
2019,5483,Broj,"Prerane smrti zbog izloženosti finim česticama (PM2,5)"
2020,7920,Broj,"Prerane smrti zbog izloženosti finim česticama (PM2,5)"
2021,7851,Broj,"Prerane smrti zbog izloženosti finim česticama (PM2,5)"
2022,6038,Broj,"Prerane smrti zbog izloženosti finim česticama (PM2,5)"
2023,4783,Broj,"Prerane smrti zbog izloženosti finim česticama (PM2,5)"
2010,164,Stopa,"Prerane smrti zbog izloženosti finim česticama (PM2,5)"
2011,179,Stopa,"Prerane smrti zbog izloženosti finim česticama (PM2,5)"
2012,134,Stopa,"Prerane smrti zbog izloženosti finim česticama (PM2,5)"
2013,104,Stopa,"Prerane smrti zbog izloženosti finim česticama (PM2,5)"
2014,102,Stopa,"Prerane smrti zbog izloženosti finim česticama (PM2,5)"
2015,138,Stopa,"Prerane smrti zbog izloženosti finim česticama (PM2,5)"
2016,199,Stopa,"Prerane smrti zbog izloženosti finim česticama (PM2,5)"
2017,168,Stopa,"Prerane smrti zbog izloženosti finim česticama (PM2,5)"
2018,196,Stopa,"Prerane smrti zbog izloženosti finim česticama (PM2,5)"
2019,157,Stopa,"Prerane smrti zbog izloženosti finim česticama (PM2,5)"
2020,227,Stopa,"Prerane smrti zbog izloženosti finim česticama (PM2,5)"
2021,226,Stopa,"Prerane smrti zbog izloženosti finim česticama (PM2,5)"
2022,175,Stopa,"Prerane smrti zbog izloženosti finim česticama (PM2,5)"
2023,139,Stopa,"Prerane smrti zbog izloženosti finim česticama (PM2,5)"
