Year,Value,Units,SERIES
2021,18.6,Percentage,Osobe u riziku od siromaštva ili socijalne isključenosti
2022,18.4,Percentage,Osobe u riziku od siromaštva ili socijalne isključenosti
2023,17.5,Percentage,Osobe u riziku od siromaštva ili socijalne isključenosti
2024,18.2,Percentage,Osobe u riziku od siromaštva ili socijalne isključenosti
