Year,SERIES,Units,Value
2021,Особе у ризику од сиромаштва или социјалне искључености,Percentage,18.6
2022,Особе у ризику од сиромаштва или социјалне искључености,Percentage,18.4
2023,Особе у ризику од сиромаштва или социјалне искључености,Percentage,17.5
2024,Особе у ризику од сиромаштва или социјалне искључености,Percentage,18.2
