Year,Value,UNIT_MEASURE,SERIES
2010,4.2,"Ланчано повезани обими (2020), евро по глави становника",Реални БДП по глави становника
2011,4.24,"Ланчано повезани обими (2020), евро по глави становника",Реални БДП по глави становника
2012,4.21,"Ланчано повезани обими (2020), евро по глави становника",Реални БДП по глави становника
2013,4.32,"Ланчано повезани обими (2020), евро по глави становника",Реални БДП по глави становника
2014,4.37,"Ланчано повезани обими (2020), евро по глави становника",Реални БДП по глави становника
2015,4.57,"Ланчано повезани обими (2020), евро по глави становника",Реални БДП по глави становника
2016,4.73,"Ланчано повезани обими (2020), евро по глави становника",Реални БДП по глави становника
2017,4.89,"Ланчано повезани обими (2020), евро по глави становника",Реални БДП по глави становника
2018,5.09,"Ланчано повезани обими (2020), евро по глави становника",Реални БДП по глави становника
2019,5.24,"Ланчано повезани обими (2020), евро по глави становника",Реални БДП по глави становника
2020,5.11,"Ланчано повезани обими (2020), евро по глави становника",Реални БДП по глави становника
2021,5.52,"Ланчано повезани обими (2020), евро по глави становника",Реални БДП по глави становника
2022,5.79,"Ланчано повезани обими (2020), евро по глави становника",Реални БДП по глави становника
2023,5.92,"Ланчано повезани обими (2020), евро по глави становника",Реални БДП по глави становника
2024,6.13,"Ланчано повезани обими (2020), евро по глави становника",Реални БДП по глави становника
2011,1.0,"Ланчано повезани обими, процентуална промjена у односу на претходни период, по глави становника",Реални БДП по глави становника
2012,-0.7,"Ланчано повезани обими, процентуална промjена у односу на претходни период, по глави становника",Реални БДП по глави становника
2013,2.5,"Ланчано повезани обими, процентуална промjена у односу на претходни период, по глави становника",Реални БДП по глави становника
2014,1.3,"Ланчано повезани обими, процентуална промjена у односу на претходни период, по глави становника",Реални БДП по глави становника
2015,4.5,"Ланчано повезани обими, процентуална промjена у односу на претходни период, по глави становника",Реални БДП по глави становника
2016,3.4,"Ланчано повезани обими, процентуална промjена у односу на претходни период, по глави становника",Реални БДП по глави становника
2017,3.5,"Ланчано повезани обими, процентуална промjена у односу на претходни период, по глави становника",Реални БДП по глави становника
2018,4.1,"Ланчано повезани обими, процентуална промjена у односу на претходни период, по глави становника",Реални БДП по глави становника
2019,3.0,"Ланчано повезани обими, процентуална промjена у односу на претходни период, по глави становника",Реални БДП по глави становника
2020,-2.6,"Ланчано повезани обими, процентуална промjена у односу на претходни период, по глави становника",Реални БДП по глави становника
2021,8.1,"Ланчано повезани обими, процентуална промjена у односу на претходни период, по глави становника",Реални БДП по глави становника
2022,4.8,"Ланчано повезани обими, процентуална промjена у односу на претходни период, по глави становника",Реални БДП по глави становника
2023,2.4,"Ланчано повезани обими, процентуална промjена у односу на претходни период, по глави становника",Реални БДП по глави становника
2024,3.5,"Ланчано повезани обими, процентуална промjена у односу на претходни период, по глави становника",Реални БДП по глави становника
