Year,Value,UNIT_MEASURE,SERIES
2015,24.0,Проценат,Особе у ризику од сиромаштва или социјалне искључености
2016,23.8,Проценат,Особе у ризику од сиромаштва или социјалне искључености
2017,23.9,Проценат,Особе у ризику од сиромаштва или социјалне искључености
2018,21.9,Проценат,Особе у ризику од сиромаштва или социјалне искључености
2019,21.1,Проценат,Особе у ризику од сиромаштва или социјалне искључености
2020,21.6,Проценат,Особе у ризику од сиромаштва или социјалне искључености
2021,21.7,Проценат,Особе у ризику од сиромаштва или социјалне искључености
2022,21.6,Проценат,Особе у ризику од сиромаштва или социјалне искључености
