Year,Value,Units,SERIES
2021,18.6,Percentage,Особе у ризику од сиромаштва или социјалне искључености
2022,18.4,Percentage,Особе у ризику од сиромаштва или социјалне искључености
2023,17.5,Percentage,Особе у ризику од сиромаштва или социјалне искључености
2024,18.2,Percentage,Особе у ризику од сиромаштва или социјалне искључености
