Year,Value,UNIT_MEASURE,SERIES
2017,9.11,Проценат од укупних прихода од пореза и социјалних доприноса (искључујући импутиране социјалне доприносе),Удио еколошких пореза у укупним пореским приходима
2018,10.6,Проценат од укупних прихода од пореза и социјалних доприноса (искључујући импутиране социјалне доприносе),Удио еколошких пореза у укупним пореским приходима
2019,10.89,Проценат од укупних прихода од пореза и социјалних доприноса (искључујући импутиране социјалне доприносе),Удио еколошких пореза у укупним пореским приходима
2020,10.42,Проценат од укупних прихода од пореза и социјалних доприноса (искључујући импутиране социјалне доприносе),Удио еколошких пореза у укупним пореским приходима
2021,10.26,Проценат од укупних прихода од пореза и социјалних доприноса (искључујући импутиране социјалне доприносе),Удио еколошких пореза у укупним пореским приходима
2022,8.73,Проценат од укупних прихода од пореза и социјалних доприноса (искључујући импутиране социјалне доприносе),Удио еколошких пореза у укупним пореским приходима
2023,8.38,Проценат од укупних прихода од пореза и социјалних доприноса (искључујући импутиране социјалне доприносе),Удио еколошких пореза у укупним пореским приходима
2024,8.08,Проценат од укупних прихода од пореза и социјалних доприноса (искључујући импутиране социјалне доприносе),Удио еколошких пореза у укупним пореским приходима
