Year,Value,UNIT_MEASURE,SERIES
2001,1.6,Проценат укупног становништва,"Стопа сиромаштва према прагу од 8,30 USD дневно (ПКМ за 2021. годину) (% становништва) - замјенски индикатор"
2004,0.9,Проценат укупног становништва,"Стопа сиромаштва према прагу од 8,30 USD дневно (ПКМ за 2021. годину) (% становништва) - замјенски индикатор"
2007,2.4,Проценат укупног становништва,"Стопа сиромаштва према прагу од 8,30 USD дневно (ПКМ за 2021. годину) (% становништва) - замјенски индикатор"
2011,2.5,Проценат укупног становништва,"Стопа сиромаштва према прагу од 8,30 USD дневно (ПКМ за 2021. годину) (% становништва) - замјенски индикатор"
2015,3.0,Проценат укупног становништва,"Стопа сиромаштва према прагу од 8,30 USD дневно (ПКМ за 2021. годину) (% становништва) - замјенски индикатор"
2021,1.0,Проценат укупног становништва,"Стопа сиромаштва према прагу од 8,30 USD дневно (ПКМ за 2021. годину) (% становништва) - замјенски индикатор"
