Year,Value,UNIT_MEASURE,SERIES
2016,18.4,Проценат,Учешће у образовању у раном дјетињству по полу (дјеца узраста 3 године и више)
2017,20.9,Проценат,Учешће у образовању у раном дјетињству по полу (дјеца узраста 3 године и више)
2018,22.4,Проценат,Учешће у образовању у раном дјетињству по полу (дјеца узраста 3 године и више)
2019,25.9,Проценат,Учешће у образовању у раном дјетињству по полу (дјеца узраста 3 године и више)
2020,27.6,Проценат,Учешће у образовању у раном дјетињству по полу (дјеца узраста 3 године и више)
2021,25.0,Проценат,Учешће у образовању у раном дјетињству по полу (дјеца узраста 3 године и више)
2022,29.6,Проценат,Учешће у образовању у раном дјетињству по полу (дјеца узраста 3 године и више)
2023,43.6,Проценат,Учешће у образовању у раном дјетињству по полу (дјеца узраста 3 године и више)
2024,45.0,Проценат,Учешће у образовању у раном дјетињству по полу (дјеца узраста 3 године и више)
