Year,SERIES,OBRAZOVNO PODRUČJE,Spol,UNIT_MEASURE,Value
2018,"Petnaestogodišnjaci sa slabim uspjehom  u čitanju, matematici ili prirodnim znanostima",Čitanje,Oba spola,Postotak ukupnog stanovništva,53.6
2018,"Petnaestogodišnjaci sa slabim uspjehom  u čitanju, matematici ili prirodnim znanostima",Matematika,Oba spola,Postotak ukupnog stanovništva,57.6
2018,"Petnaestogodišnjaci sa slabim uspjehom  u čitanju, matematici ili prirodnim znanostima",Prirodne znanosti,Oba spola,Postotak ukupnog stanovništva,56.7
