Year,SERIES,UNIT_MEASURE,Age,Value
2022,Severe material and social deprivation rate by age group and sex,Percent,All age ranges or no breakdown by age,6.8
2022,Severe material and social deprivation rate by age group and sex,"Per 1,000 population",All age ranges or no breakdown by age,22.4
