Year,SERIES,UNIT_MEASURE,Energetski bilans,Value
2014,Udio obnovljive energije u bruto konačnoj potrošnji energije,Procenat,"Obnovljiva energija, ukupno",24.873
2015,Udio obnovljive energije u bruto konačnoj potrošnji energije,Procenat,"Obnovljiva energija, ukupno",26.607
2016,Udio obnovljive energije u bruto konačnoj potrošnji energije,Procenat,"Obnovljiva energija, ukupno",25.358
2017,Udio obnovljive energije u bruto konačnoj potrošnji energije,Procenat,"Obnovljiva energija, ukupno",23.241
2018,Udio obnovljive energije u bruto konačnoj potrošnji energije,Procenat,"Obnovljiva energija, ukupno",35.972
2019,Udio obnovljive energije u bruto konačnoj potrošnji energije,Procenat,"Obnovljiva energija, ukupno",37.454
2020,Udio obnovljive energije u bruto konačnoj potrošnji energije,Procenat,"Obnovljiva energija, ukupno",39.835
2021,Udio obnovljive energije u bruto konačnoj potrošnji energije,Procenat,"Obnovljiva energija, ukupno",36.587
2022,Udio obnovljive energije u bruto konačnoj potrošnji energije,Procenat,"Obnovljiva energija, ukupno",39.32
2023,Udio obnovljive energije u bruto konačnoj potrošnji energije,Procenat,"Obnovljiva energija, ukupno",40.038
2024,Udio obnovljive energije u bruto konačnoj potrošnji energije,Procenat,"Obnovljiva energija, ukupno",38.524
2014,Udio obnovljive energije u bruto konačnoj potrošnji energije,Procenat,"Obnovljiva energija, transport",0.456
2015,Udio obnovljive energije u bruto konačnoj potrošnji energije,Procenat,"Obnovljiva energija, transport",0.53
2016,Udio obnovljive energije u bruto konačnoj potrošnji energije,Procenat,"Obnovljiva energija, transport",0.525
2017,Udio obnovljive energije u bruto konačnoj potrošnji energije,Procenat,"Obnovljiva energija, transport",0.533
2018,Udio obnovljive energije u bruto konačnoj potrošnji energije,Procenat,"Obnovljiva energija, transport",0.439
2019,Udio obnovljive energije u bruto konačnoj potrošnji energije,Procenat,"Obnovljiva energija, transport",0.396
2020,Udio obnovljive energije u bruto konačnoj potrošnji energije,Procenat,"Obnovljiva energija, transport",0.464
2021,Udio obnovljive energije u bruto konačnoj potrošnji energije,Procenat,"Obnovljiva energija, transport",0.245
2022,Udio obnovljive energije u bruto konačnoj potrošnji energije,Procenat,"Obnovljiva energija, transport",0.311
2023,Udio obnovljive energije u bruto konačnoj potrošnji energije,Procenat,"Obnovljiva energija, transport",0.292
2024,Udio obnovljive energije u bruto konačnoj potrošnji energije,Procenat,"Obnovljiva energija, transport",0.281
2014,Udio obnovljive energije u bruto konačnoj potrošnji energije,Procenat,"Obnovljiva energija, transport",0.456
2015,Udio obnovljive energije u bruto konačnoj potrošnji energije,Procenat,"Obnovljiva energija, transport",0.53
2016,Udio obnovljive energije u bruto konačnoj potrošnji energije,Procenat,"Obnovljiva energija, transport",0.525
