Year,SERIES,Радна снага и статус запослености,Године,UNIT_MEASURE,Value
2021,"Разлика у запослености међу половима, према врсти запослења",Запослене особе,од 20 до 64 године,Проценат,26.9
2022,"Разлика у запослености међу половима, према врсти запослења",Запослене особе,од 20 до 64 године,Проценат,27.7
2023,"Разлика у запослености међу половима, према врсти запослења",Запослене особе,од 20 до 64 године,Проценат,27.4
2024,"Разлика у запослености међу половима, према врсти запослења",Запослене особе,од 20 до 64 године,Проценат,27.6
2025,"Разлика у запослености међу половима, према врсти запослења",Запослене особе,од 20 до 64 године,Проценат,28.3
2021,"Разлика у запослености међу половима, према врсти запослења",Запослене особе које раде са скраћеним радним временом,од 20 до 64 године,Проценат,-0.7
2022,"Разлика у запослености међу половима, према врсти запослења",Запослене особе које раде са скраћеним радним временом,од 20 до 64 године,Проценат,0.0
2023,"Разлика у запослености међу половима, према врсти запослења",Запослене особе које раде са скраћеним радним временом,од 20 до 64 године,Проценат,-0.1
2024,"Разлика у запослености међу половима, према врсти запослења",Запослене особе које раде са скраћеним радним временом,од 20 до 64 године,Проценат,-0.4
2025,"Разлика у запослености међу половима, према врсти запослења",Запослене особе које раде са скраћеним радним временом,од 20 до 64 године,Проценат,-1.8
2021,"Разлика у запослености међу половима, према врсти запослења",Запослене особе са привременим уговором,од 20 до 64 године,Проценат,-2.9
2022,"Разлика у запослености међу половима, према врсти запослења",Запослене особе са привременим уговором,од 20 до 64 године,Проценат,-2.8
2023,"Разлика у запослености међу половима, према врсти запослења",Запослене особе са привременим уговором,од 20 до 64 године,Проценат,-2.4
2024,"Разлика у запослености међу половима, према врсти запослења",Запослене особе са привременим уговором,од 20 до 64 године,Проценат,-2.1
2025,"Разлика у запослености међу половима, према врсти запослења",Запослене особе са привременим уговором,од 20 до 64 године,Проценат,-2.0
2021,"Разлика у запослености међу половима, према врсти запослења",Недовољно запослене особе које раде са скраћеним радним временом,од 20 до 64 године,Проценат,0.2
2022,"Разлика у запослености међу половима, према врсти запослења",Недовољно запослене особе које раде са скраћеним радним временом,од 20 до 64 године,Проценат,0.4
2023,"Разлика у запослености међу половима, према врсти запослења",Недовољно запослене особе које раде са скраћеним радним временом,од 20 до 64 године,Проценат,0.5
2024,"Разлика у запослености међу половима, према врсти запослења",Недовољно запослене особе које раде са скраћеним радним временом,од 20 до 64 године,Проценат,0.2
2025,"Разлика у запослености међу половима, према врсти запослења",Недовољно запослене особе које раде са скраћеним радним временом,од 20 до 64 године,Проценат,-0.2
