Year,SERIES,Spol,Sektor performansi,UNIT_MEASURE,Value
2017,Osoblje za istraživanje i razvoj (R&D),Oba pola,Svi sektori,"Ukupan broj (istraživači, tehničko osoblje, ostalo osoblje)",3489.0
2018,Osoblje za istraživanje i razvoj (R&D),Oba pola,Svi sektori,"Ukupan broj (istraživači, tehničko osoblje, ostalo osoblje)",2853.0
2019,Osoblje za istraživanje i razvoj (R&D),Oba pola,Svi sektori,"Ukupan broj (istraživači, tehničko osoblje, ostalo osoblje)",2883.0
2020,Osoblje za istraživanje i razvoj (R&D),Oba pola,Svi sektori,"Ukupan broj (istraživači, tehničko osoblje, ostalo osoblje)",2541.0
2021,Osoblje za istraživanje i razvoj (R&D),Oba pola,Svi sektori,"Ukupan broj (istraživači, tehničko osoblje, ostalo osoblje)",2492.0
2022,Osoblje za istraživanje i razvoj (R&D),Oba pola,Svi sektori,"Ukupan broj (istraživači, tehničko osoblje, ostalo osoblje)",2793.0
2023,Osoblje za istraživanje i razvoj (R&D),Oba pola,Svi sektori,"Ukupan broj (istraživači, tehničko osoblje, ostalo osoblje)",3631.0
2024,Osoblje za istraživanje i razvoj (R&D),Oba pola,Svi sektori,"Ukupan broj (istraživači, tehničko osoblje, ostalo osoblje)",3453.0
2021,Osoblje za istraživanje i razvoj (R&D),Oba pola,Svi sektori,Procenat stanovništva u radnoj snazi ​​- brojnik u ekvivalentu punog radnog vremena (FTE),0.14
2021,Osoblje za istraživanje i razvoj (R&D),Oba pola,Poslovni sektor,Procenat stanovništva u radnoj snazi ​​- brojnik u ekvivalentu punog radnog vremena (FTE),0.03
2021,Osoblje za istraživanje i razvoj (R&D),Oba pola,Vladin sektor,Procenat stanovništva u radnoj snazi ​​- brojnik u ekvivalentu punog radnog vremena (FTE),0.01
2021,Osoblje za istraživanje i razvoj (R&D),Oba pola,Sektor visokog obrazovanja,Procenat stanovništva u radnoj snazi ​​- brojnik u ekvivalentu punog radnog vremena (FTE),0.01
2021,Osoblje za istraživanje i razvoj (R&D),Oba pola,Privatni neprofitni sektor,Procenat stanovništva u radnoj snazi ​​- brojnik u ekvivalentu punog radnog vremena (FTE),0.0
