Year,Series,UNIT_MEASURE,Godine,Value
2022,sdg_01_20,Postotak,Svi dobni rasponi ili nema podjele po godinama,6.8
2022,sdg_01_20,Na 1 000 stanovnika,Svi dobni rasponi ili nema podjele po godinama,22.4
