Year,SERIES,UNIT_MEASURE,Godine,Spol,Value
2022,Stopa teške materijalne i socijalne deprivacije prema dobroj grupi i spolu,Postotak,Svi dobni rasponi ili nema podjele po godinama,Oba spola,6.8
2022,Stopa teške materijalne i socijalne deprivacije prema dobroj grupi i spolu,Na 1 000 stanovnika,Svi dobni rasponi ili nema podjele po godinama,Oba spola,22.4
