Year,SERIES,Income or wealth quantile,Social protection transfers,UNIT_MEASURE,Value
2011,Distribution of social protection transfers to the population in Bosnia and Herzegovina - proxy indicator,Quintile 1 (poorest),Overall social protection (B1-B29),Percent,15.5
2011,Distribution of social protection transfers to the population in Bosnia and Herzegovina - proxy indicator,Quintile 1 (poorest),"Total status transfers (B6-B23, B25-B29)",Percent,17.3
2011,Distribution of social protection transfers to the population in Bosnia and Herzegovina - proxy indicator,Quintile 1 (poorest),Allowances for civilian persons with disabilities (B18-B20),Percent,19.8
2011,Distribution of social protection transfers to the population in Bosnia and Herzegovina - proxy indicator,Quintile 1 (poorest),Child protection benefits (B21-B23),Percent,25.4
2011,Distribution of social protection transfers to the population in Bosnia and Herzegovina - proxy indicator,Quintile 1 (poorest),Social assistance benefits (B26-B29),Percent,40.3
2011,Distribution of social protection transfers to the population in Bosnia and Herzegovina - proxy indicator,Quintile 2,Overall social protection (B1-B29),Percent,18.2
2011,Distribution of social protection transfers to the population in Bosnia and Herzegovina - proxy indicator,Quintile 2,"Total status transfers (B6-B23, B25-B29)",Percent,19.1
2011,Distribution of social protection transfers to the population in Bosnia and Herzegovina - proxy indicator,Quintile 2,Allowances for civilian persons with disabilities (B18-B20),Percent,17.2
2011,Distribution of social protection transfers to the population in Bosnia and Herzegovina - proxy indicator,Quintile 2,Child protection benefits (B21-B23),Percent,22.7
2011,Distribution of social protection transfers to the population in Bosnia and Herzegovina - proxy indicator,Quintile 2,Social assistance benefits (B26-B29),Percent,21.1
2011,Distribution of social protection transfers to the population in Bosnia and Herzegovina - proxy indicator,Quintile 3,Overall social protection (B1-B29),Percent,19.7
2011,Distribution of social protection transfers to the population in Bosnia and Herzegovina - proxy indicator,Quintile 3,"Total status transfers (B6-B23, B25-B29)",Percent,22.4
2011,Distribution of social protection transfers to the population in Bosnia and Herzegovina - proxy indicator,Quintile 3,Allowances for civilian persons with disabilities (B18-B20),Percent,24.4
2011,Distribution of social protection transfers to the population in Bosnia and Herzegovina - proxy indicator,Quintile 3,Child protection benefits (B21-B23),Percent,17.3
2011,Distribution of social protection transfers to the population in Bosnia and Herzegovina - proxy indicator,Quintile 3,Social assistance benefits (B26-B29),Percent,11.2
2011,Distribution of social protection transfers to the population in Bosnia and Herzegovina - proxy indicator,Quintile 4,Overall social protection (B1-B29),Percent,21.2
2011,Distribution of social protection transfers to the population in Bosnia and Herzegovina - proxy indicator,Quintile 4,"Total status transfers (B6-B23, B25-B29)",Percent,21.3
2011,Distribution of social protection transfers to the population in Bosnia and Herzegovina - proxy indicator,Quintile 4,Allowances for civilian persons with disabilities (B18-B20),Percent,25.5
2011,Distribution of social protection transfers to the population in Bosnia and Herzegovina - proxy indicator,Quintile 4,Child protection benefits (B21-B23),Percent,16.0
2011,Distribution of social protection transfers to the population in Bosnia and Herzegovina - proxy indicator,Quintile 4,Social assistance benefits (B26-B29),Percent,5.3
2011,Distribution of social protection transfers to the population in Bosnia and Herzegovina - proxy indicator,Quintile 5 (richest),Overall social protection (B1-B29),Percent,25.4
2011,Distribution of social protection transfers to the population in Bosnia and Herzegovina - proxy indicator,Quintile 5 (richest),"Total status transfers (B6-B23, B25-B29)",Percent,20.0
2011,Distribution of social protection transfers to the population in Bosnia and Herzegovina - proxy indicator,Quintile 5 (richest),Allowances for civilian persons with disabilities (B18-B20),Percent,13.0
2011,Distribution of social protection transfers to the population in Bosnia and Herzegovina - proxy indicator,Quintile 5 (richest),Child protection benefits (B21-B23),Percent,18.6
2011,Distribution of social protection transfers to the population in Bosnia and Herzegovina - proxy indicator,Quintile 5 (richest),Social assistance benefits (B26-B29),Percent,22.3
