Year,SERIES,Sex,UNIT_MEASURE,Value
2023,sdg_16_70,Both sexes,NUMBER,37
2024,sdg_16_70,Both sexes,NUMBER,37
2023,sdg_16_70,Male,NUMBER,11
2024,sdg_16_70,Male,NUMBER,19
2023,sdg_16_70,Female,NUMBER,26
2024,sdg_16_70,Female,NUMBER,18
