Year,SERIES,Standard international energy product classification,UNIT_MEASURE,Value
2014,Energy import dependency,Total,Percent,28.209
2015,Energy import dependency,Total,Percent,33.693
2016,Energy import dependency,Total,Percent,31.518
2017,Energy import dependency,Total,Percent,34.031
2018,Energy import dependency,Total,Percent,24.263
2019,Energy import dependency,Total,Percent,27.377
2020,Energy import dependency,Total,Percent,25.398
2021,Energy import dependency,Total,Percent,27.151
2022,Energy import dependency,Total,Percent,26.281
2023,Energy import dependency,Total,Percent,24.836
2024,Energy import dependency,Total,Percent,27.796
2014,Energy import dependency,Solid fossil fuels,Percent,17.258
2015,Energy import dependency,Solid fossil fuels,Percent,17.839
2016,Energy import dependency,Solid fossil fuels,Percent,14.941
2017,Energy import dependency,Solid fossil fuels,Percent,17.657
2018,Energy import dependency,Solid fossil fuels,Percent,14.883
2019,Energy import dependency,Solid fossil fuels,Percent,19.768
2020,Energy import dependency,Solid fossil fuels,Percent,15.417
2021,Energy import dependency,Solid fossil fuels,Percent,19.305
2022,Energy import dependency,Solid fossil fuels,Percent,11.67
2023,Energy import dependency,Solid fossil fuels,Percent,10.416
2024,Energy import dependency,Solid fossil fuels,Percent,7.834
2014,Energy import dependency,Oil and petroleum products (excluding biofuel portion),Percent,96.591
2015,Energy import dependency,Oil and petroleum products (excluding biofuel portion),Percent,104.76
2016,Energy import dependency,Oil and petroleum products (excluding biofuel portion),Percent,104.837
2017,Energy import dependency,Oil and petroleum products (excluding biofuel portion),Percent,100.316
2018,Energy import dependency,Oil and petroleum products (excluding biofuel portion),Percent,97.049
2019,Energy import dependency,Oil and petroleum products (excluding biofuel portion),Percent,93.188
2020,Energy import dependency,Oil and petroleum products (excluding biofuel portion),Percent,99.811
2021,Energy import dependency,Oil and petroleum products (excluding biofuel portion),Percent,96.236
2022,Energy import dependency,Oil and petroleum products (excluding biofuel portion),Percent,99.965
2023,Energy import dependency,Oil and petroleum products (excluding biofuel portion),Percent,99.93
2024,Energy import dependency,Oil and petroleum products (excluding biofuel portion),Percent,100.346
2014,Energy import dependency,Natural gas,Percent,100.0
2015,Energy import dependency,Natural gas,Percent,100.0
2016,Energy import dependency,Natural gas,Percent,100.0
2017,Energy import dependency,Natural gas,Percent,100.0
2018,Energy import dependency,Natural gas,Percent,100.011
2019,Energy import dependency,Natural gas,Percent,100.0
2020,Energy import dependency,Natural gas,Percent,100.0
2021,Energy import dependency,Natural gas,Percent,100.021
2022,Energy import dependency,Natural gas,Percent,99.979
2023,Energy import dependency,Natural gas,Percent,100.003
2024,Energy import dependency,Natural gas,Percent,100.012
