Year,SERIES,UNIT_MEASURE,Value
2010,Net greenhouse gas emissions,Tonnes per capita,5.55
2011,Net greenhouse gas emissions,Tonnes per capita,6.35
2012,Net greenhouse gas emissions,Tonnes per capita,6.03
2013,Net greenhouse gas emissions,Tonnes per capita,6.03
2014,Net greenhouse gas emissions,Tonnes per capita,5.42
2015,Net greenhouse gas emissions,Tonnes per capita,5.25
2016,Net greenhouse gas emissions,Tonnes per capita,6.26
2017,Net greenhouse gas emissions,Tonnes per capita,6.46
2018,Net greenhouse gas emissions,Tonnes per capita,6.52
2019,Net greenhouse gas emissions,Tonnes per capita,6.22
2020,Net greenhouse gas emissions,Tonnes per capita,6.31
2021,Net greenhouse gas emissions,Tonnes per capita,6.55
2022,Net greenhouse gas emissions,Tonnes per capita,6.47
2023,Net greenhouse gas emissions,Tonnes per capita,6.24
2024,Net greenhouse gas emissions,Tonnes per capita,6.14
2010,Net greenhouse gas emissions,Million tons of CO2 equivalent,21.15
2011,Net greenhouse gas emissions,Million tons of CO2 equivalent,23.75
2012,Net greenhouse gas emissions,Million tons of CO2 equivalent,22.14
2013,Net greenhouse gas emissions,Million tons of CO2 equivalent,21.8
2014,Net greenhouse gas emissions,Million tons of CO2 equivalent,19.31
2015,Net greenhouse gas emissions,Million tons of CO2 equivalent,18.46
2016,Net greenhouse gas emissions,Million tons of CO2 equivalent,21.73
2017,Net greenhouse gas emissions,Million tons of CO2 equivalent,22.15
2018,Net greenhouse gas emissions,Million tons of CO2 equivalent,22.08
2019,Net greenhouse gas emissions,Million tons of CO2 equivalent,20.81
2020,Net greenhouse gas emissions,Million tons of CO2 equivalent,20.83
2021,Net greenhouse gas emissions,Million tons of CO2 equivalent,21.27
2022,Net greenhouse gas emissions,Million tons of CO2 equivalent,20.74
2023,Net greenhouse gas emissions,Million tons of CO2 equivalent,19.88
2024,Net greenhouse gas emissions,Million tons of CO2 equivalent,19.43
