Year,SERIES,Education level,Sex,Age,UNIT_MEASURE,Value
2021,sdg_04_20,Tertiary education (levels 5-8),Both sexes,25 to 34 years old,PT,27.1
2022,sdg_04_20,Tertiary education (levels 5-8),Both sexes,25 to 34 years old,PT,26.4
2023,sdg_04_20,Tertiary education (levels 5-8),Both sexes,25 to 34 years old,PT,26.6
2024,sdg_04_20,Tertiary education (levels 5-8),Both sexes,25 to 34 years old,PT,26.7
2025,sdg_04_20,Tertiary education (levels 5-8),Both sexes,25 to 34 years old,PT,27.5
2021,sdg_04_20,Tertiary education (levels 5-8),Male,25 to 34 years old,PT,21.7
2022,sdg_04_20,Tertiary education (levels 5-8),Male,25 to 34 years old,PT,20.9
2023,sdg_04_20,Tertiary education (levels 5-8),Male,25 to 34 years old,PT,21.3
2024,sdg_04_20,Tertiary education (levels 5-8),Male,25 to 34 years old,PT,21.8
2025,sdg_04_20,Tertiary education (levels 5-8),Male,25 to 34 years old,PT,22.8
2021,sdg_04_20,Tertiary education (levels 5-8),Female,25 to 34 years old,PT,32.9
2022,sdg_04_20,Tertiary education (levels 5-8),Female,25 to 34 years old,PT,32.4
2023,sdg_04_20,Tertiary education (levels 5-8),Female,25 to 34 years old,PT,32.2
2024,sdg_04_20,Tertiary education (levels 5-8),Female,25 to 34 years old,PT,31.9
2025,sdg_04_20,Tertiary education (levels 5-8),Female,25 to 34 years old,PT,32.7
