Year,SERIES,UNIT_MEASURE,Age,Sex,Value
2022,Severe material and social deprivation rate by age group and sex,Percent,All age ranges or no breakdown by age,Both sexes,6.8
2022,Severe material and social deprivation rate by age group and sex,"Per 1,000 population",All age ranges or no breakdown by age,Both sexes,22.4
