Year,SERIES,Пол,Године,UNIT_MEASURE,Value
2021,Млади који нису запослени и нису у образовању или обуци,Оба пола,од 20 до 64 године,Проценат укупног становништва,25.1
2022,Млади који нису запослени и нису у образовању или обуци,Оба пола,од 20 до 64 године,Проценат укупног становништва,23.5
2023,Млади који нису запослени и нису у образовању или обуци,Оба пола,од 20 до 64 године,Проценат укупног становништва,22.2
2024,Млади који нису запослени и нису у образовању или обуци,Оба пола,од 20 до 64 године,Проценат укупног становништва,20.1
2025,Млади који нису запослени и нису у образовању или обуци,Оба пола,од 20 до 64 године,Проценат укупног становништва,20.0
2021,Млади који нису запослени и нису у образовању или обуци,Мушкарци,од 20 до 64 године,Проценат укупног становништва,21.6
2022,Млади који нису запослени и нису у образовању или обуци,Мушкарци,од 20 до 64 године,Проценат укупног становништва,19.8
2023,Млади који нису запослени и нису у образовању или обуци,Мушкарци,од 20 до 64 године,Проценат укупног становништва,18.8
2024,Млади који нису запослени и нису у образовању или обуци,Мушкарци,од 20 до 64 године,Проценат укупног становништва,16.6
2025,Млади који нису запослени и нису у образовању или обуци,Мушкарци,од 20 до 64 године,Проценат укупног становништва,16.4
2021,Млади који нису запослени и нису у образовању или обуци,Жене,од 20 до 64 године,Проценат укупног становништва,28.8
2022,Млади који нису запослени и нису у образовању или обуци,Жене,од 20 до 64 године,Проценат укупног становништва,27.4
2023,Млади који нису запослени и нису у образовању или обуци,Жене,од 20 до 64 године,Проценат укупног становништва,25.9
2024,Млади који нису запослени и нису у образовању или обуци,Жене,од 20 до 64 године,Проценат укупног становништва,23.8
2025,Млади који нису запослени и нису у образовању или обуци,Жене,од 20 до 64 године,Проценат укупног становништва,23.9
