Year,SERIES,Units,Value
2021,Osobe u riziku od siromaštva ili socijalne isključenosti,Percentage,18.6
2022,Osobe u riziku od siromaštva ili socijalne isključenosti,Percentage,18.4
2023,Osobe u riziku od siromaštva ili socijalne isključenosti,Percentage,17.5
2024,Osobe u riziku od siromaštva ili socijalne isključenosti,Percentage,18.2
