Indicator
#1-10
#1-20
#1-31
#1-40
#1-41
#1-50
#10-10
#10-20
#10-30
#10-41
#10-50
#10-60
#11-11
#11-20
#11-32
#11-40
#11-52
#11-60
#12-10
#12-21
#12-31
#12-41
#12-51
#12-61
#13-10
#13-21
#13-31
#13-40
#13-50
#13-70
#14-10
#14-21
#14-30
#14-40
#14-50
#14-60
#15-11
#15-20
#15-42
#15-50
#15-60
#15-61
#16-10
#16-20
#16-30
#16-40
#16-50
#16-70
#17-10
#17-20
#17-31
#17-40
#17-50
#17-60
#2-10
#2-20
#2-30
#2-40
#2-53
#2-60
#3-12
#3-20
#3-30
#3-42
#3-60
#3-70
#4-10
#4-20
#4-31
#4-40
#4-60
#4-70
#5-10
#5-20
#5-30
#5-40
#5-50
#5-60
#5-61
#6-20
#6-30
#6-40
#6-50
#6-60
#6-70
#7-10
#7-20
#7-30
#7-40
#7-50
#7-60
#8-10
#8-11
#8-20
#8-30
#8-40
#8-60
#9-10
#9-30
#9-40
#9-50
#9-60
#9-70
