Value,Disaggregation combinations using this value,Number of indicators
SH_FOUR_Q_20,1,1
SH_HIGH_Q_10,1,1
SH_HIGH_Q_20,1,1
SH_LOW_Q_10,1,1
SH_LOW_Q_20,1,1
SH_SEC_Q_20,1,1
SH_THI_Q_20,1,1
