Indicator
#10-10
#11-32
#11-40
#11-52
#11-60
#12-41
#12-51
#13-10
#13-21
#13-40
#15-11
#15-20
#15-42
#16-50
#16-70
#17-40
#2-10
#2-30
#2-60
#3-30
#4-10
#4-20
#4-31
#4-60
#4-70
#5-30
#5-40
#5-50
#5-60
#6-20
#6-60
#7-10
#7-20
#7-30
#7-40
#7-50
#8-10
#8-20
#8-30
#8-40
#9-10
#9-30
#9-40
