Indicator,Disaggregation combinations using this value
#16-10,1
#16-70,1
#3-12,1
#3-30,1
#4-10,5
#4-20,1
#4-60,1
#4-70,1
#5-40,1
#8-20,1
#8-30,1
#8-40,1
#9-30,6
