Year,SERIES,UNIT_MEASURE,Value
2010,Net greenhouse gas emissions of the LULUCF sector,Thousand tonnes of CO2 equivalent,-5686.0
2011,Net greenhouse gas emissions of the LULUCF sector,Thousand tonnes of CO2 equivalent,-5903.0
2012,Net greenhouse gas emissions of the LULUCF sector,Thousand tonnes of CO2 equivalent,-7546.3
2013,Net greenhouse gas emissions of the LULUCF sector,Thousand tonnes of CO2 equivalent,-6141.0
2014,Net greenhouse gas emissions of the LULUCF sector,Thousand tonnes of CO2 equivalent,-6398.0
2015,Net greenhouse gas emissions of the LULUCF sector,Thousand tonnes of CO2 equivalent,-6140.6
2016,Net greenhouse gas emissions of the LULUCF sector,Thousand tonnes of CO2 equivalent,-5881.6
2017,Net greenhouse gas emissions of the LULUCF sector,Thousand tonnes of CO2 equivalent,-5844.1
2018,Net greenhouse gas emissions of the LULUCF sector,Thousand tonnes of CO2 equivalent,-5831.9
