Year,SERIES,Врста подносиоца,UNIT_MEASURE,Value
2023,sdg_10_60,Подносилац који први пут подноси захтјев,P_MHAB,43
2024,sdg_10_60,Подносилац који први пут подноси захтјев,P_MHAB,68
2025,sdg_10_60,Подносилац који први пут подноси захтјев,P_MHAB,32
2023,sdg_10_60,Позитивна првостепена одлука,P_MHAB,20
2024,sdg_10_60,Позитивна првостепена одлука,P_MHAB,28
2025,sdg_10_60,Позитивна првостепена одлука,P_MHAB,11
