Year,SERIES,UNIT_MEASURE,Value
2016,Бруто дуг опште државе,Проценат бруто домаћег производа (БДП),39.1
2017,Бруто дуг опште државе,Проценат бруто домаћег производа (БДП),35.6
2018,Бруто дуг опште државе,Проценат бруто домаћег производа (БДП),32.1
2019,Бруто дуг опште државе,Проценат бруто домаћег производа (БДП),32.8
2020,Бруто дуг опште државе,Проценат бруто домаћег производа (БДП),37.3
2021,Бруто дуг опште државе,Проценат бруто домаћег производа (БДП),35.8
2022,Бруто дуг опште државе,Проценат бруто домаћег производа (БДП),31.2
2023,Бруто дуг опште државе,Проценат бруто домаћег производа (БДП),29.9
2024,Бруто дуг опште државе,Проценат бруто домаћег производа (БДП),29.4
2025,Бруто дуг опште државе,Проценат бруто домаћег производа (БДП),29.9
2016,Бруто дуг опште државе,у милионима KM,12.1
2017,Бруто дуг опште државе,у милионима KM,11.35
2018,Бруто дуг опште државе,у милионима KM,11.2
2019,Бруто дуг опште државе,у милионима KM,11.21
2020,Бруто дуг опште државе,у милионима KM,12.19
2021,Бруто дуг опште државе,у милионима KM,12.85
2022,Бруто дуг опште државе,у милионима KM,13.1
2023,Бруто дуг опште државе,у милионима KM,12.96
2024,Бруто дуг опште државе,у милионима KM,13.74
2025,Бруто дуг опште државе,у милионима KM,13.74
