Year,SERIES,Пол,UNIT_MEASURE,Value
2023,Жртве трговине људима по полу,Оба пола,Број,37
2024,Жртве трговине људима по полу,Оба пола,Број,37
2023,Жртве трговине људима по полу,Мушкарци,Број,11
2024,Жртве трговине људима по полу,Мушкарци,Број,19
2023,Жртве трговине људима по полу,Жене,Број,26
2024,Жртве трговине људима по полу,Жене,Број,18
