Year,SERIES,Статистичке информације,UNIT_MEASURE,Value
2015,Утицај суше на екосистеме,Годишња вриједност,Квадратних километара,1599.0
2017,Утицај суше на екосистеме,Годишња вриједност,Квадратних километара,4255.0
2019,Утицај суше на екосистеме,Годишња вриједност,Квадратних километара,15.0
2020,Утицај суше на екосистеме,Годишња вриједност,Квадратних километара,723.0
2021,Утицај суше на екосистеме,Годишња вриједност,Квадратних километара,4857.0
2022,Утицај суше на екосистеме,Годишња вриједност,Квадратних километара,23788.0
2023,Утицај суше на екосистеме,Годишња вриједност,Квадратних километара,667.0
2024,Утицај суше на екосистеме,Годишња вриједност,Квадратних километара,2034.0
2015,Утицај суше на екосистеме,Годишња вриједност,Проценат,3.1
2017,Утицај суше на екосистеме,Годишња вриједност,Проценат,8.3
2019,Утицај суше на екосистеме,Годишња вриједност,Проценат,0.0
2020,Утицај суше на екосистеме,Годишња вриједност,Проценат,1.4
2021,Утицај суше на екосистеме,Годишња вриједност,Проценат,9.6
2022,Утицај суше на екосистеме,Годишња вриједност,Проценат,46.8
2023,Утицај суше на екосистеме,Годишња вриједност,Проценат,1.3
2024,Утицај суше на екосистеме,Годишња вриједност,Проценат,4.0
2015,Утицај суше на екосистеме,Десетогодишњи просjек,Квадратних километара,2562.0
2016,Утицај суше на екосистеме,Десетогодишњи просjек,Квадратних километара,2562.0
2017,Утицај суше на екосистеме,Десетогодишњи просjек,Квадратних километара,2941.0
2018,Утицај суше на екосистеме,Десетогодишњи просjек,Квадратних километара,2934.0
2019,Утицај суше на екосистеме,Десетогодишњи просjек,Квадратних километара,2935.0
2020,Утицај суше на екосистеме,Десетогодишњи просjек,Квадратних километара,3008.0
2021,Утицај суше на екосистеме,Десетогодишњи просjек,Квадратних километара,3416.0
2022,Утицај суше на екосистеме,Десетогодишњи просjек,Квадратних километара,3694.0
2023,Утицај суше на екосистеме,Десетогодишњи просjек,Квадратних километара,3588.0
2024,Утицај суше на екосистеме,Десетогодишњи просjек,Квадратних километара,3791.0
2015,Утицај суше на екосистеме,Десетогодишњи просjек,Проценат,5.0
2016,Утицај суше на екосистеме,Десетогодишњи просjек,Проценат,5.0
2017,Утицај суше на екосистеме,Десетогодишњи просjек,Проценат,5.8
2018,Утицај суше на екосистеме,Десетогодишњи просjек,Проценат,5.8
2019,Утицај суше на екосистеме,Десетогодишњи просjек,Проценат,5.8
2020,Утицај суше на екосистеме,Десетогодишњи просjек,Проценат,5.9
2021,Утицај суше на екосистеме,Десетогодишњи просjек,Проценат,6.7
2022,Утицај суше на екосистеме,Десетогодишњи просjек,Проценат,7.3
2023,Утицај суше на екосистеме,Десетогодишњи просjек,Проценат,7.1
2024,Утицај суше на екосистеме,Десетогодишњи просjек,Проценат,7.5
