Year,SERIES,Ниво образовања,Пол,Године,UNIT_MEASURE,Value
2021,Високо образовање према полу,Високо образовање (нивои 5-8),Оба пола,од 25 до 34 године,Проценат,27.1
2022,Високо образовање према полу,Високо образовање (нивои 5-8),Оба пола,од 25 до 34 године,Проценат,26.4
2023,Високо образовање према полу,Високо образовање (нивои 5-8),Оба пола,од 25 до 34 године,Проценат,26.6
2024,Високо образовање према полу,Високо образовање (нивои 5-8),Оба пола,од 25 до 34 године,Проценат,26.7
2025,Високо образовање према полу,Високо образовање (нивои 5-8),Оба пола,од 25 до 34 године,Проценат,27.5
2021,Високо образовање према полу,Високо образовање (нивои 5-8),Мушкарци,од 25 до 34 године,Проценат,21.7
2022,Високо образовање према полу,Високо образовање (нивои 5-8),Мушкарци,од 25 до 34 године,Проценат,20.9
2023,Високо образовање према полу,Високо образовање (нивои 5-8),Мушкарци,од 25 до 34 године,Проценат,21.3
2024,Високо образовање према полу,Високо образовање (нивои 5-8),Мушкарци,од 25 до 34 године,Проценат,21.8
2025,Високо образовање према полу,Високо образовање (нивои 5-8),Мушкарци,од 25 до 34 године,Проценат,22.8
2021,Високо образовање према полу,Високо образовање (нивои 5-8),Жене,од 25 до 34 године,Проценат,32.9
2022,Високо образовање према полу,Високо образовање (нивои 5-8),Жене,од 25 до 34 године,Проценат,32.4
2023,Високо образовање према полу,Високо образовање (нивои 5-8),Жене,од 25 до 34 године,Проценат,32.2
2024,Високо образовање према полу,Високо образовање (нивои 5-8),Жене,од 25 до 34 године,Проценат,31.9
2025,Високо образовање према полу,Високо образовање (нивои 5-8),Жене,од 25 до 34 године,Проценат,32.7
