Year,SERIES,Статистичке информације,UNIT_MEASURE,Value
2010,Економски губици повезани са климатским промjенама,Годишња вриједност,Милион евра по константним цијенама,488.0
2015,Економски губици повезани са климатским промjенама,Годишња вриједност,Милион евра по константним цијенама,215.0
2019,Економски губици повезани са климатским промjенама,Годишња вриједност,Милион евра по константним цијенама,22.0
2020,Економски губици повезани са климатским промjенама,Годишња вриједност,Милион евра по константним цијенама,16.0
2022,Економски губици повезани са климатским промjенама,Годишња вриједност,Милион евра по константним цијенама,6.0
2023,Економски губици повезани са климатским промjенама,Годишња вриједност,Милион евра по константним цијенама,11.0
2024,Економски губици повезани са климатским промjенама,Годишња вриједност,Милион евра по константним цијенама,458.0
2010,Економски губици повезани са климатским промjенама,Годишња вриједност,Евро по становнику (по константним цијенама),126.96
2015,Економски губици повезани са климатским промjенама,Годишња вриједност,Евро по становнику (по константним цијенама),58.57
2019,Економски губици повезани са климатским промjенама,Годишња вриједност,Евро по становнику (по константним цијенама),6.3
2020,Економски губици повезани са климатским промjенама,Годишња вриједност,Евро по становнику (по константним цијенама),4.59
2022,Економски губици повезани са климатским промjенама,Годишња вриједност,Евро по становнику (по константним цијенама),1.74
2023,Економски губици повезани са климатским промjенама,Годишња вриједност,Евро по становнику (по константним цијенама),3.21
2024,Економски губици повезани са климатским промjенама,Годишња вриједност,Евро по становнику (по константним цијенама),134.24
2010,Економски губици повезани са климатским промjенама,Тридесетогодишњи просjек,Милион евра по константним цијенама,45.0
2015,Економски губици повезани са климатским промjенама,Тридесетогодишњи просjек,Милион евра по константним цијенама,161.0
2019,Економски губици повезани са климатским промjенама,Тридесетогодишњи просjек,Милион евра по константним цијенама,161.0
2020,Економски губици повезани са климатским промjенама,Тридесетогодишњи просjек,Милион евра по константним цијенама,162.0
2022,Економски губици повезани са климатским промjенама,Тридесетогодишњи просjек,Милион евра по константним цијенама,162.0
2023,Економски губици повезани са климатским промjенама,Тридесетогодишњи просjек,Милион евра по константним цијенама,162.0
2024,Економски губици повезани са климатским промjенама,Тридесетогодишњи просjек,Милион евра по константним цијенама,178.0
2010,Економски губици повезани са климатским промjенама,Тридесетогодишњи просjек,Евро по становнику (по константним цијенама),11.73
2015,Економски губици повезани са климатским промjенама,Тридесетогодишњи просjек,Евро по становнику (по константним цијенама),43.84
2019,Економски губици повезани са климатским промjенама,Тридесетогодишњи просjек,Евро по становнику (по константним цијенама),46.19
2020,Економски губици повезани са климатским промjенама,Тридесетогодишњи просjек,Евро по становнику (по константним цијенама),46.47
2022,Економски губици повезани са климатским промjенама,Тридесетогодишњи просjек,Евро по становнику (по константним цијенама),46.94
2023,Економски губици повезани са климатским промjенама,Тридесетогодишњи просjек,Евро по становнику (по константним цијенама),47.37
2024,Економски губици повезани са климатским промjенама,Тридесетогодишњи просjек,Евро по становнику (по константним цијенама),52.08
