Year,SERIES,ОБЛАСТ ОБРАЗОВАЊА,Пол,UNIT_MEASURE,Value
2018,"Петнаестогодишњаци са слабим успјехом  у читању, математици или природним наукама",Читање,Оба пола,Проценат укупног становништва,53.6
2018,"Петнаестогодишњаци са слабим успјехом  у читању, математици или природним наукама",Математика,Оба пола,Проценат укупног становништва,57.6
2018,"Петнаестогодишњаци са слабим успјехом  у читању, математици или природним наукама",Природне науке,Оба пола,Проценат укупног становништва,56.7
