Year,SERIES,Радна снага и статус запослености,Пол,Године,UNIT_MEASURE,Value
2021,sdg_04_10,Становништво,Оба пола,од 18 до 24 године,PT,4.7
2022,sdg_04_10,Становништво,Оба пола,од 18 до 24 године,PT,3.6
2023,sdg_04_10,Становништво,Оба пола,од 18 до 24 године,PT,4.2
2024,sdg_04_10,Становништво,Оба пола,од 18 до 24 године,PT,3.8
2025,sdg_04_10,Становништво,Оба пола,од 18 до 24 године,PT,3.0
2021,sdg_04_10,Становништво,Мушкарци,од 18 до 24 године,PT,4.9
2022,sdg_04_10,Становништво,Мушкарци,од 18 до 24 године,PT,3.9
2023,sdg_04_10,Становништво,Мушкарци,од 18 до 24 године,PT,5.2
2024,sdg_04_10,Становништво,Мушкарци,од 18 до 24 године,PT,5.0
2025,sdg_04_10,Становништво,Мушкарци,од 18 до 24 године,PT,2.9
2021,sdg_04_10,Становништво,Жене,од 18 до 24 године,PT,4.4
2022,sdg_04_10,Становништво,Жене,од 18 до 24 године,PT,3.3
2023,sdg_04_10,Становништво,Жене,од 18 до 24 године,PT,3.1
2024,sdg_04_10,Становништво,Жене,од 18 до 24 године,PT,2.5
2025,sdg_04_10,Становништво,Жене,од 18 до 24 године,PT,3.0
2021,sdg_04_10,Запослене особе,Оба пола,од 18 до 24 године,PT,1.3
2022,sdg_04_10,Запослене особе,Оба пола,од 18 до 24 године,PT,0.7
2023,sdg_04_10,Запослене особе,Оба пола,од 18 до 24 године,PT,0.8
2024,sdg_04_10,Запослене особе,Оба пола,од 18 до 24 године,PT,0.8
2025,sdg_04_10,Запослене особе,Оба пола,од 18 до 24 године,PT,0.6
2021,sdg_04_10,Запослене особе,Мушкарци,од 18 до 24 године,PT,2.1
2022,sdg_04_10,Запослене особе,Мушкарци,од 18 до 24 године,PT,1.4
2023,sdg_04_10,Запослене особе,Мушкарци,од 18 до 24 године,PT,1.4
2024,sdg_04_10,Запослене особе,Мушкарци,од 18 до 24 године,PT,1.2
2025,sdg_04_10,Запослене особе,Мушкарци,од 18 до 24 године,PT,
2021,sdg_04_10,Запослене особе,Жене,од 18 до 24 године,PT,
2022,sdg_04_10,Запослене особе,Жене,од 18 до 24 године,PT,
2023,sdg_04_10,Запослене особе,Жене,од 18 до 24 године,PT,
2024,sdg_04_10,Запослене особе,Жене,од 18 до 24 године,PT,
2025,sdg_04_10,Запослене особе,Жене,од 18 до 24 године,PT,0.8
2021,sdg_04_10,Незапослене особе,Оба пола,од 18 до 24 године,PT,3.4
2022,sdg_04_10,Незапослене особе,Оба пола,од 18 до 24 године,PT,2.9
2023,sdg_04_10,Незапослене особе,Оба пола,од 18 до 24 године,PT,3.3
2024,sdg_04_10,Незапослене особе,Оба пола,од 18 до 24 године,PT,3.0
2025,sdg_04_10,Незапослене особе,Оба пола,од 18 до 24 године,PT,2.4
2021,sdg_04_10,Незапослене особе,Мушкарци,од 18 до 24 године,PT,2.8
2022,sdg_04_10,Незапослене особе,Мушкарци,од 18 до 24 године,PT,2.5
2023,sdg_04_10,Незапослене особе,Мушкарци,од 18 до 24 године,PT,3.7
2024,sdg_04_10,Незапослене особе,Мушкарци,од 18 до 24 године,PT,3.8
2025,sdg_04_10,Незапослене особе,Мушкарци,од 18 до 24 године,PT,2.5
2021,sdg_04_10,Незапослене особе,Жене,од 18 до 24 године,PT,3.9
2022,sdg_04_10,Незапослене особе,Жене,од 18 до 24 године,PT,3.3
2023,sdg_04_10,Незапослене особе,Жене,од 18 до 24 године,PT,2.9
2024,sdg_04_10,Незапослене особе,Жене,од 18 до 24 године,PT,2.1
2025,sdg_04_10,Незапослене особе,Жене,од 18 до 24 године,PT,2.2
2021,sdg_04_10,Особе које би жељеле да раде (траже запослење или не),Оба пола,од 18 до 24 године,PT,1.3
2022,sdg_04_10,Особе које би жељеле да раде (траже запослење или не),Оба пола,од 18 до 24 године,PT,1.0
2023,sdg_04_10,Особе које би жељеле да раде (траже запослење или не),Оба пола,од 18 до 24 године,PT,1.0
2024,sdg_04_10,Особе које би жељеле да раде (траже запослење или не),Оба пола,од 18 до 24 године,PT,0.8
2025,sdg_04_10,Особе које би жељеле да раде (траже запослење или не),Оба пола,од 18 до 24 године,PT,0.4
2021,sdg_04_10,Особе које би жељеле да раде (траже запослење или не),Мушкарци,од 18 до 24 године,PT,1.4
2022,sdg_04_10,Особе које би жељеле да раде (траже запослење или не),Мушкарци,од 18 до 24 године,PT,0.7
2023,sdg_04_10,Особе које би жељеле да раде (траже запослење или не),Мушкарци,од 18 до 24 године,PT,1.3
2024,sdg_04_10,Особе које би жељеле да раде (траже запослење или не),Мушкарци,од 18 до 24 године,PT,1.4
2025,sdg_04_10,Особе које би жељеле да раде (траже запослење или не),Мушкарци,од 18 до 24 године,PT,
2021,sdg_04_10,Особе које би жељеле да раде (траже запослење или не),Жене,од 18 до 24 године,PT,1.3
2022,sdg_04_10,Особе које би жељеле да раде (траже запослење или не),Жене,од 18 до 24 године,PT,1.4
2023,sdg_04_10,Особе које би жељеле да раде (траже запослење или не),Жене,од 18 до 24 године,PT,0.7
2024,sdg_04_10,Особе које би жељеле да раде (траже запослење или не),Жене,од 18 до 24 године,PT,
2025,sdg_04_10,Особе које би жељеле да раде (траже запослење или не),Жене,од 18 до 24 године,PT,
2021,sdg_04_10,Особе које не желе да раде,Оба пола,од 18 до 24 године,PT,2.0
2022,sdg_04_10,Особе које не желе да раде,Оба пола,од 18 до 24 године,PT,1.9
2023,sdg_04_10,Особе које не желе да раде,Оба пола,од 18 до 24 године,PT,2.3
2024,sdg_04_10,Особе које не желе да раде,Оба пола,од 18 до 24 године,PT,2.2
2025,sdg_04_10,Особе које не желе да раде,Оба пола,од 18 до 24 године,PT,2.0
2021,sdg_04_10,Особе које не желе да раде,Мушкарци,од 18 до 24 године,PT,1.4
