Year,SERIES,Пол,Године,UNIT_MEASURE,Value
2021,sdg_08_30,Оба пола,од 20 до 64 године,PC,52.6
2022,sdg_08_30,Оба пола,од 20 до 64 године,PC,53.9
2023,sdg_08_30,Оба пола,од 20 до 64 године,PC,55.9
2024,sdg_08_30,Оба пола,од 20 до 64 године,PC,58.2
2025,sdg_08_30,Оба пола,од 20 до 64 године,PC,59.5
2021,sdg_08_30,Мушкарци,од 20 до 64 године,PC,66.0
2022,sdg_08_30,Мушкарци,од 20 до 64 године,PC,67.7
2023,sdg_08_30,Мушкарци,од 20 до 64 године,PC,69.5
2024,sdg_08_30,Мушкарци,од 20 до 64 године,PC,71.9
2025,sdg_08_30,Мушкарци,од 20 до 64 године,PC,73.5
2021,sdg_08_30,Жене,од 20 до 64 године,PC,39.1
2022,sdg_08_30,Жене,од 20 до 64 године,PC,40.0
2023,sdg_08_30,Жене,од 20 до 64 године,PC,42.1
2024,sdg_08_30,Жене,од 20 до 64 године,PC,44.3
2025,sdg_08_30,Жене,од 20 до 64 године,PC,45.2
