Year,SERIES,UNIT_MEASURE,Value
2019,Смртоносне несреће на раду на 100 000 радника,Стопа инциденције,2.19
2020,Смртоносне несреће на раду на 100 000 радника,Стопа инциденције,1.85
2021,Смртоносне несреће на раду на 100 000 радника,Стопа инциденције,3.15
2022,Смртоносне несреће на раду на 100 000 радника,Стопа инциденције,2.62
2023,Смртоносне несреће на раду на 100 000 радника,Стопа инциденције,2.46
2024,Смртоносне несреће на раду на 100 000 радника,Стопа инциденције,2.22
2025,Смртоносне несреће на раду на 100 000 радника,Стопа инциденције,2.57
