Year,SERIES,Пол,UNIT_MEASURE,Value
2012,Стандардизована стопа смртности због убистава,Оба пола,Стопа на 100.000 становника,1.8
2013,Стандардизована стопа смртности због убистава,Оба пола,Стопа на 100.000 становника,1.7
2014,Стандардизована стопа смртности због убистава,Оба пола,Стопа на 100.000 становника,1.7
2015,Стандардизована стопа смртности због убистава,Оба пола,Стопа на 100.000 становника,1.7
2016,Стандардизована стопа смртности због убистава,Оба пола,Стопа на 100.000 становника,1.6
2017,Стандардизована стопа смртности због убистава,Оба пола,Стопа на 100.000 становника,1.6
2018,Стандардизована стопа смртности због убистава,Оба пола,Стопа на 100.000 становника,1.5
2019,Стандардизована стопа смртности због убистава,Оба пола,Стопа на 100.000 становника,1.5
2020,Стандардизована стопа смртности због убистава,Оба пола,Стопа на 100.000 становника,1.4
2021,Стандардизована стопа смртности због убистава,Оба пола,Стопа на 100.000 становника,1.4
2012,Стандардизована стопа смртности због убистава,Мушкарци,Стопа на 100.000 становника,2.7
2013,Стандардизована стопа смртности због убистава,Мушкарци,Стопа на 100.000 становника,2.6
2014,Стандардизована стопа смртности због убистава,Мушкарци,Стопа на 100.000 становника,2.6
2015,Стандардизована стопа смртности због убистава,Мушкарци,Стопа на 100.000 становника,2.6
2016,Стандардизована стопа смртности због убистава,Мушкарци,Стопа на 100.000 становника,2.4
2017,Стандардизована стопа смртности због убистава,Мушкарци,Стопа на 100.000 становника,2.4
2018,Стандардизована стопа смртности због убистава,Мушкарци,Стопа на 100.000 становника,2.3
2019,Стандардизована стопа смртности због убистава,Мушкарци,Стопа на 100.000 становника,2.2
2020,Стандардизована стопа смртности због убистава,Мушкарци,Стопа на 100.000 становника,2.0
2021,Стандардизована стопа смртности због убистава,Мушкарци,Стопа на 100.000 становника,2.0
2012,Стандардизована стопа смртности због убистава,Жене,Стопа на 100.000 становника,0.9
2013,Стандардизована стопа смртности због убистава,Жене,Стопа на 100.000 становника,0.9
2014,Стандардизована стопа смртности због убистава,Жене,Стопа на 100.000 становника,0.9
2015,Стандардизована стопа смртности због убистава,Жене,Стопа на 100.000 становника,0.9
2016,Стандардизована стопа смртности због убистава,Жене,Стопа на 100.000 становника,0.9
2017,Стандардизована стопа смртности због убистава,Жене,Стопа на 100.000 становника,0.8
2018,Стандардизована стопа смртности због убистава,Жене,Стопа на 100.000 становника,0.8
2019,Стандардизована стопа смртности због убистава,Жене,Стопа на 100.000 становника,0.8
2020,Стандардизована стопа смртности због убистава,Жене,Стопа на 100.000 становника,0.8
2021,Стандардизована стопа смртности због убистава,Жене,Стопа на 100.000 становника,0.8
