Year,SERIES,Пол,Сектор учинка,UNIT_MEASURE,Value
2017,Особље за истраживање и развој,Оба пола,Сви сектори,"Укупан број (истраживачи, техничко особље, остало особље)",3489.0
2018,Особље за истраживање и развој,Оба пола,Сви сектори,"Укупан број (истраживачи, техничко особље, остало особље)",2853.0
2019,Особље за истраживање и развој,Оба пола,Сви сектори,"Укупан број (истраживачи, техничко особље, остало особље)",2883.0
2020,Особље за истраживање и развој,Оба пола,Сви сектори,"Укупан број (истраживачи, техничко особље, остало особље)",2541.0
2021,Особље за истраживање и развој,Оба пола,Сви сектори,"Укупан број (истраживачи, техничко особље, остало особље)",2492.0
2022,Особље за истраживање и развој,Оба пола,Сви сектори,"Укупан број (истраживачи, техничко особље, остало особље)",2793.0
2023,Особље за истраживање и развој,Оба пола,Сви сектори,"Укупан број (истраживачи, техничко особље, остало особље)",3631.0
2024,Особље за истраживање и развој,Оба пола,Сви сектори,"Укупан број (истраживачи, техничко особље, остало особље)",3453.0
2021,Особље за истраживање и развој,Оба пола,Сви сектори,Проценат становништва у радној снази - бројилац у еквиваленту пуног радног времена (FTE),0.14
2021,Особље за истраживање и развој,Оба пола,Сектор предузећа,Проценат становништва у радној снази - бројилац у еквиваленту пуног радног времена (FTE),0.03
2021,Особље за истраживање и развој,Оба пола,Владини сектор,Проценат становништва у радној снази - бројилац у еквиваленту пуног радног времена (FTE),0.01
2021,Особље за истраживање и развој,Оба пола,Сектор високог образовања,Проценат становништва у радној снази - бројилац у еквиваленту пуног радног времена (FTE),0.01
2021,Особље за истраживање и развој,Оба пола,Приватни непрофитни сектор,Проценат становништва у радној снази - бројилац у еквиваленту пуног радног времена (FTE),0.0
