Year,SERIES,UNIT_MEASURE,Године,Value
2022,Стопа тешке материјалне и социјалне ускраћености према старосној групи и полу,Проценат,Сви старосни распони или нема подјеле по годинама,6.8
2022,Стопа тешке материјалне и социјалне ускраћености према старосној групи и полу,На 1.000 становника,Сви старосни распони или нема подјеле по годинама,22.4
