Year,SERIES,UNIT_MEASURE,Value
2014,Consumption of antibiotics in the community and hospital sectors – defined daily doses (DDD) per day,Defined daily doses (DDD) per thousand inhabitants per day,16.3
2015,Consumption of antibiotics in the community and hospital sectors – defined daily doses (DDD) per day,Defined daily doses (DDD) per thousand inhabitants per day,17.5
2016,Consumption of antibiotics in the community and hospital sectors – defined daily doses (DDD) per day,Defined daily doses (DDD) per thousand inhabitants per day,18.1
2017,Consumption of antibiotics in the community and hospital sectors – defined daily doses (DDD) per day,Defined daily doses (DDD) per thousand inhabitants per day,17.7
2018,Consumption of antibiotics in the community and hospital sectors – defined daily doses (DDD) per day,Defined daily doses (DDD) per thousand inhabitants per day,18.9
2019,Consumption of antibiotics in the community and hospital sectors – defined daily doses (DDD) per day,Defined daily doses (DDD) per thousand inhabitants per day,17.0
2020,Consumption of antibiotics in the community and hospital sectors – defined daily doses (DDD) per day,Defined daily doses (DDD) per thousand inhabitants per day,19.0
2021,Consumption of antibiotics in the community and hospital sectors – defined daily doses (DDD) per day,Defined daily doses (DDD) per thousand inhabitants per day,18.9
2022,Consumption of antibiotics in the community and hospital sectors – defined daily doses (DDD) per day,Defined daily doses (DDD) per thousand inhabitants per day,21.5
2023,Consumption of antibiotics in the community and hospital sectors – defined daily doses (DDD) per day,Defined daily doses (DDD) per thousand inhabitants per day,24.7
