Year,SERIES,Statističke informacije,UNIT_MEASURE,Value
2014,"Indeks eksploatacije vode, plus (WEI+)",Godišnja vrijednost,Procenat,0.35
2015,"Indeks eksploatacije vode, plus (WEI+)",Godišnja vrijednost,Procenat,0.54
2016,"Indeks eksploatacije vode, plus (WEI+)",Godišnja vrijednost,Procenat,0.33
2017,"Indeks eksploatacije vode, plus (WEI+)",Godišnja vrijednost,Procenat,0.52
2018,"Indeks eksploatacije vode, plus (WEI+)",Godišnja vrijednost,Procenat,0.33
2019,"Indeks eksploatacije vode, plus (WEI+)",Godišnja vrijednost,Procenat,0.4
2020,"Indeks eksploatacije vode, plus (WEI+)",Godišnja vrijednost,Procenat,2.68
2021,"Indeks eksploatacije vode, plus (WEI+)",Godišnja vrijednost,Procenat,2.42
2022,"Indeks eksploatacije vode, plus (WEI+)",Godišnja vrijednost,Procenat,3.04
2023,"Indeks eksploatacije vode, plus (WEI+)",Godišnja vrijednost,Procenat,1.83
2014,"Indeks eksploatacije vode, plus (WEI+)",Četverogodišnji prosjek,Procenat,0.58
2015,"Indeks eksploatacije vode, plus (WEI+)",Četverogodišnji prosjek,Procenat,0.52
2016,"Indeks eksploatacije vode, plus (WEI+)",Četverogodišnji prosjek,Procenat,0.43
2017,"Indeks eksploatacije vode, plus (WEI+)",Četverogodišnji prosjek,Procenat,0.43
2018,"Indeks eksploatacije vode, plus (WEI+)",Četverogodišnji prosjek,Procenat,0.43
2019,"Indeks eksploatacije vode, plus (WEI+)",Četverogodišnji prosjek,Procenat,0.39
2020,"Indeks eksploatacije vode, plus (WEI+)",Četverogodišnji prosjek,Procenat,0.98
2021,"Indeks eksploatacije vode, plus (WEI+)",Četverogodišnji prosjek,Procenat,1.46
2022,"Indeks eksploatacije vode, plus (WEI+)",Četverogodišnji prosjek,Procenat,2.13
2023,"Indeks eksploatacije vode, plus (WEI+)",Četverogodišnji prosjek,Procenat,2.49
