Year,SERIES,Vrsta podnosioca zahtjeva,UNIT_MEASURE,Value
2023,sdg_10_60,Podnosilac koji prvi put aplicira,P_MHAB,43
2024,sdg_10_60,Podnosilac koji prvi put aplicira,P_MHAB,68
2025,sdg_10_60,Podnosilac koji prvi put aplicira,P_MHAB,32
2023,sdg_10_60,Pozitivna prvostepena odluka,P_MHAB,20
2024,sdg_10_60,Pozitivna prvostepena odluka,P_MHAB,28
2025,sdg_10_60,Pozitivna prvostepena odluka,P_MHAB,11
