Year,SERIES,UNIT_MEASURE,Spol,Value
2014,Osobe u riziku od siromaštva ili socijalne isključenosti,Procenat,Muškarci,5.2
2016,Osobe u riziku od siromaštva ili socijalne isključenosti,Procenat,Muškarci,5.5
2019,Osobe u riziku od siromaštva ili socijalne isključenosti,Procenat,Muškarci,5.5
2014,Osobe u riziku od siromaštva ili socijalne isključenosti,Procenat,Žene,5.2
2016,Osobe u riziku od siromaštva ili socijalne isključenosti,Procenat,Žene,5.5
2019,Osobe u riziku od siromaštva ili socijalne isključenosti,Procenat,Žene,5.6
