Year,SERIES,Nivo obrazovanja,Spol,Godine,UNIT_MEASURE,Value
2021,Visoko obrazovanje prema spolu,Visokoškolsko obrazovanje (nivo 5-8),Oba pola,Od 25 do 44 godine,Procenat,27.1
2022,Visoko obrazovanje prema spolu,Visokoškolsko obrazovanje (nivo 5-8),Oba pola,Od 25 do 44 godine,Procenat,26.4
2023,Visoko obrazovanje prema spolu,Visokoškolsko obrazovanje (nivo 5-8),Oba pola,Od 25 do 44 godine,Procenat,26.6
2024,Visoko obrazovanje prema spolu,Visokoškolsko obrazovanje (nivo 5-8),Oba pola,Od 25 do 44 godine,Procenat,26.7
2025,Visoko obrazovanje prema spolu,Visokoškolsko obrazovanje (nivo 5-8),Oba pola,Od 25 do 44 godine,Procenat,27.5
2021,Visoko obrazovanje prema spolu,Visokoškolsko obrazovanje (nivo 5-8),Muškarci,Od 25 do 44 godine,Procenat,21.7
2022,Visoko obrazovanje prema spolu,Visokoškolsko obrazovanje (nivo 5-8),Muškarci,Od 25 do 44 godine,Procenat,20.9
2023,Visoko obrazovanje prema spolu,Visokoškolsko obrazovanje (nivo 5-8),Muškarci,Od 25 do 44 godine,Procenat,21.3
2024,Visoko obrazovanje prema spolu,Visokoškolsko obrazovanje (nivo 5-8),Muškarci,Od 25 do 44 godine,Procenat,21.8
2025,Visoko obrazovanje prema spolu,Visokoškolsko obrazovanje (nivo 5-8),Muškarci,Od 25 do 44 godine,Procenat,22.8
2021,Visoko obrazovanje prema spolu,Visokoškolsko obrazovanje (nivo 5-8),Žene,Od 25 do 44 godine,Procenat,32.9
2022,Visoko obrazovanje prema spolu,Visokoškolsko obrazovanje (nivo 5-8),Žene,Od 25 do 44 godine,Procenat,32.4
2023,Visoko obrazovanje prema spolu,Visokoškolsko obrazovanje (nivo 5-8),Žene,Od 25 do 44 godine,Procenat,32.2
2024,Visoko obrazovanje prema spolu,Visokoškolsko obrazovanje (nivo 5-8),Žene,Od 25 do 44 godine,Procenat,31.9
2025,Visoko obrazovanje prema spolu,Visokoškolsko obrazovanje (nivo 5-8),Žene,Od 25 do 44 godine,Procenat,32.7
