Year,SERIES,UNIT_MEASURE,Godine,Value
2022,Osobe u riziku od siromaštva ili socijalne isključenosti,Procenat,Svi dobni rasponi ili nema podjele po godinama,6.8
2022,Osobe u riziku od siromaštva ili socijalne isključenosti,Procenat,mlađi od 18 godina,22.4
2022,Osobe u riziku od siromaštva ili socijalne isključenosti,Na 1 000 stanovnika,Svi dobni rasponi ili nema podjele po godinama,2.8
2022,Osobe u riziku od siromaštva ili socijalne isključenosti,Na 1 000 stanovnika,mlađi od 18 godina,2.4
2023,Osobe u riziku od siromaštva ili socijalne isključenosti,Procenat,Svi dobni rasponi ili nema podjele po godinama,5.8
2023,Osobe u riziku od siromaštva ili socijalne isključenosti,Procenat,mlađi od 18 godina,20.4
2023,Osobe u riziku od siromaštva ili socijalne isključenosti,Na 1 000 stanovnika,Svi dobni rasponi ili nema podjele po godinama,4.8
2023,Osobe u riziku od siromaštva ili socijalne isključenosti,Na 1 000 stanovnika,mlađi od 18 godina,2.9
