Year,SERIES,Spol,Godine,UNIT_MEASURE,Value
2021,"Stopa dugotrajne nezaposlenosti, po polu",Oba pola,Od 15 do 74 godine,Procenat stanovništva u radnoj snazi,13.4
2022,"Stopa dugotrajne nezaposlenosti, po polu",Oba pola,Od 15 do 74 godine,Procenat stanovništva u radnoj snazi,11.4
2023,"Stopa dugotrajne nezaposlenosti, po polu",Oba pola,Od 15 do 74 godine,Procenat stanovništva u radnoj snazi,9.6
2024,"Stopa dugotrajne nezaposlenosti, po polu",Oba pola,Od 15 do 74 godine,Procenat stanovništva u radnoj snazi,9.0
2025,"Stopa dugotrajne nezaposlenosti, po polu",Oba pola,Od 15 do 74 godine,Procenat stanovništva u radnoj snazi,9.1
