2-2-1.csvYear,Series,Units,Poverty status,Value
2022,Total,Percentage,Total,6.8
2022,Total,Percentage,At risk of poverty,22.4
2022,Total,Percentage,Not at risk of poverty,3.1
2023,Total,Percentage,Total,6.2
2023,Total,Percentage,At risk of poverty,21.1
2023,Total,Percentage,Not at risk of poverty,2.9
2024,Total,Percentage,Total,6.5
2024,Total,Percentage,At risk of poverty,21.9
2024,Total,Percentage,Not at risk of poverty,3.0
