Year,SERIES,COOP_PTN,UNIT_MEASURE,Value
2011,sdg_09_40,INVT,NUMBER,1
2012,sdg_09_40,INVT,NUMBER,1
2013,sdg_09_40,INVT,NUMBER,2
2014,sdg_09_40,INVT,NUMBER,3
2015,sdg_09_40,INVT,NUMBER,2
2016,sdg_09_40,INVT,NUMBER,1
2017,sdg_09_40,INVT,NUMBER,2
2018,sdg_09_40,INVT,NUMBER,4
2019,sdg_09_40,INVT,NUMBER,3
2020,sdg_09_40,INVT,NUMBER,4
2021,sdg_09_40,INVT,NUMBER,0
2022,sdg_09_40,INVT,NUMBER,8
2023,sdg_09_40,INVT,NUMBER,9
2024,sdg_09_40,INVT,NUMBER,6
2025,sdg_09_40,INVT,NUMBER,4
2011,sdg_09_40,INVT,PER_1000000_POP,0.27
2012,sdg_09_40,INVT,PER_1000000_POP,0.27
2013,sdg_09_40,INVT,PER_1000000_POP,0.53
2014,sdg_09_40,INVT,PER_1000000_POP,0.79
2015,sdg_09_40,INVT,PER_1000000_POP,0.55
2016,sdg_09_40,INVT,PER_1000000_POP,0.29
2017,sdg_09_40,INVT,PER_1000000_POP,0.58
2018,sdg_09_40,INVT,PER_1000000_POP,1.15
2019,sdg_09_40,INVT,PER_1000000_POP,""
2020,sdg_09_40,INVT,PER_1000000_POP,""
2021,sdg_09_40,INVT,PER_1000000_POP,""
2022,sdg_09_40,INVT,PER_1000000_POP,2.32
2023,sdg_09_40,INVT,PER_1000000_POP,2.63
2024,sdg_09_40,INVT,PER_1000000_POP,1.76
2025,sdg_09_40,INVT,PER_1000000_POP,""
2011,sdg_09_40,APPL,NUMBER,1
2012,sdg_09_40,APPL,NUMBER,1
2013,sdg_09_40,APPL,NUMBER,2
2014,sdg_09_40,APPL,NUMBER,3
2015,sdg_09_40,APPL,NUMBER,2
2016,sdg_09_40,APPL,NUMBER,1
2017,sdg_09_40,APPL,NUMBER,2
2018,sdg_09_40,APPL,NUMBER,4
2019,sdg_09_40,APPL,NUMBER,3
2020,sdg_09_40,APPL,NUMBER,4
2021,sdg_09_40,APPL,NUMBER,0
2022,sdg_09_40,APPL,NUMBER,8
2023,sdg_09_40,APPL,NUMBER,9
2024,sdg_09_40,APPL,NUMBER,6
2025,sdg_09_40,APPL,NUMBER,4
2011,sdg_09_40,APPL,PER_1000000_POP,0
2012,sdg_09_40,APPL,PER_1000000_POP,0.79
2013,sdg_09_40,APPL,PER_1000000_POP,0.27
2014,sdg_09_40,APPL,PER_1000000_POP,0
2015,sdg_09_40,APPL,PER_1000000_POP,0
2016,sdg_09_40,APPL,PER_1000000_POP,0.57
2017,sdg_09_40,APPL,PER_1000000_POP,0
2018,sdg_09_40,APPL,PER_1000000_POP,0.29
2019,sdg_09_40,APPL,PER_1000000_POP,""
2020,sdg_09_40,APPL,PER_1000000_POP,""
2021,sdg_09_40,APPL,PER_1000000_POP,""
2022,sdg_09_40,APPL,PER_1000000_POP,2.03
2023,sdg_09_40,APPL,PER_1000000_POP,2.34
2024,sdg_09_40,APPL,PER_1000000_POP,1.76
2024,sdg_09_40,APPL,PER_1000000_POP,""
