Year,SERIES,STATINFO,UNIT_MEASURE,Value
2010,sdg_13_40,VAL_A,MEUR_KP,488
2015,sdg_13_40,VAL_A,MEUR_KP,215
2019,sdg_13_40,VAL_A,MEUR_KP,22
2020,sdg_13_40,VAL_A,MEUR_KP,16
2022,sdg_13_40,VAL_A,MEUR_KP,6
2023,sdg_13_40,VAL_A,MEUR_KP,11
2024,sdg_13_40,VAL_A,MEUR_KP,458
2010,sdg_13_40,VAL_A,EUR_HAB_KP,126.96
2015,sdg_13_40,VAL_A,EUR_HAB_KP,58.57
2019,sdg_13_40,VAL_A,EUR_HAB_KP,6.30
2020,sdg_13_40,VAL_A,EUR_HAB_KP,4.59
2022,sdg_13_40,VAL_A,EUR_HAB_KP,1.74
2023,sdg_13_40,VAL_A,EUR_HAB_KP,3.21
2024,sdg_13_40,VAL_A,EUR_HAB_KP,134.24
2010,sdg_13_40,AVG_30Y,MEUR_KP,45
2015,sdg_13_40,AVG_30Y,MEUR_KP,161
2019,sdg_13_40,AVG_30Y,MEUR_KP,161
2020,sdg_13_40,AVG_30Y,MEUR_KP,162
2022,sdg_13_40,AVG_30Y,MEUR_KP,162
2023,sdg_13_40,AVG_30Y,MEUR_KP,162
2024,sdg_13_40,AVG_30Y,MEUR_KP,178
2010,sdg_13_40,AVG_30Y,EUR_HAB_KP,11.73
2015,sdg_13_40,AVG_30Y,EUR_HAB_KP,43.84
2019,sdg_13_40,AVG_30Y,EUR_HAB_KP,46.19
2020,sdg_13_40,AVG_30Y,EUR_HAB_KP,46.47
2022,sdg_13_40,AVG_30Y,EUR_HAB_KP,46.94
2023,sdg_13_40,AVG_30Y,EUR_HAB_KP,47.37
2024,sdg_13_40,AVG_30Y,EUR_HAB_KP,52.08
