Year,SERIES,PROF_POS,SEX,UNIT_MEASURE,Value
2018,sdg_05_60,NEXEC,F,PT,14.8
2019,sdg_05_60,NEXEC,F,PT,17.0
2020,sdg_05_60,NEXEC,F,PT,17.0
2021,sdg_05_60,NEXEC,F,PT,11.3
2022,sdg_05_60,NEXEC,F,PT,13.5
2022,sdg_05_60,NEXEC,F,PT,12.5
2018,sdg_05_60,NEXEC_EXEC,F,PT,17.8
2019,sdg_05_60,NEXEC_EXEC,F,PT,22.0
2020,sdg_05_60,NEXEC_EXEC,F,PT,19.8
2021,sdg_05_60,NEXEC_EXEC,F,PT,17.2
2022,sdg_05_60,NEXEC_EXEC,F,PT,15.5
2023,sdg_05_60,NEXEC_EXEC,F,PT,19.6
