Year,SERIES,UNIT_MEASURE,SEX,Value
2014,sdg_01_10,PT,M,5.2
2016,sdg_01_10,PT,M,5.5
2019,sdg_01_10,PT,M,5.5
2014,sdg_01_10,PT,F,5.2
2016,sdg_01_10,PT,F,5.5
2019,sdg_01_10,PT,F,5.6
