Year,SERIES,UNIT_MEASURE,AGE,Value
2022,sdg_01_10,PT,_T,6.8
2022,sdg_01_10,PT,<18Y,22.4
2022,sdg_01_10,PER_1000_POP,_T,2.8
2022,sdg_01_10,PER_1000_POP,<18Y,2.4
2023,sdg_01_10,PT,_T,5.8
2023,sdg_01_10,PT,<18Y,20.4
2023,sdg_01_10,PER_1000_POP,_T,4.8
2023,sdg_01_10,PER_1000_POP,<18Y,2.9
