Year,Series,Units,Sex,Value
2022,Total,Percentage,Both sexes,22.1
2022,Total,Percentage,Female,21.8
2022,Total,Percentage,Male,22.5
2023,Total,Percentage,Both sexes,21.4
2023,Total,Percentage,Female,21.1
2023,Total,Percentage,Male,21.9
2024,Total,Percentage,Both sexes,21.8
2024,Total,Percentage,Female,21.5
2024,Total,Percentage,Male,22.3
