Year,SERIES,Sex,UNIT_MEASURE,Value
2023,Victims of trafficking in human beings by sex,Both sexes,Number,37
2024,Victims of trafficking in human beings by sex,Both sexes,Number,37
2023,Victims of trafficking in human beings by sex,Male,Number,11
2024,Victims of trafficking in human beings by sex,Male,Number,19
2023,Victims of trafficking in human beings by sex,Female,Number,26
2024,Victims of trafficking in human beings by sex,Female,Number,18
