Year,SERIES,Standardna međunarodna klasifikacija energetskih proizvoda,UNIT_MEASURE,Value
2014,Ovisnost o uvozu energije,Ukupno,Postotak,28.209
2015,Ovisnost o uvozu energije,Ukupno,Postotak,33.693
2016,Ovisnost o uvozu energije,Ukupno,Postotak,31.518
2017,Ovisnost o uvozu energije,Ukupno,Postotak,34.031
2018,Ovisnost o uvozu energije,Ukupno,Postotak,24.263
2019,Ovisnost o uvozu energije,Ukupno,Postotak,27.377
2020,Ovisnost o uvozu energije,Ukupno,Postotak,25.398
2021,Ovisnost o uvozu energije,Ukupno,Postotak,27.151
2022,Ovisnost o uvozu energije,Ukupno,Postotak,26.281
2023,Ovisnost o uvozu energije,Ukupno,Postotak,24.836
2024,Ovisnost o uvozu energije,Ukupno,Postotak,27.796
2014,Ovisnost o uvozu energije,Čvrsta fosilna goriva,Postotak,17.258
2015,Ovisnost o uvozu energije,Čvrsta fosilna goriva,Postotak,17.839
2016,Ovisnost o uvozu energije,Čvrsta fosilna goriva,Postotak,14.941
2017,Ovisnost o uvozu energije,Čvrsta fosilna goriva,Postotak,17.657
2018,Ovisnost o uvozu energije,Čvrsta fosilna goriva,Postotak,14.883
2019,Ovisnost o uvozu energije,Čvrsta fosilna goriva,Postotak,19.768
2020,Ovisnost o uvozu energije,Čvrsta fosilna goriva,Postotak,15.417
2021,Ovisnost o uvozu energije,Čvrsta fosilna goriva,Postotak,19.305
2022,Ovisnost o uvozu energije,Čvrsta fosilna goriva,Postotak,11.67
2023,Ovisnost o uvozu energije,Čvrsta fosilna goriva,Postotak,10.416
2024,Ovisnost o uvozu energije,Čvrsta fosilna goriva,Postotak,7.834
2014,Ovisnost o uvozu energije,Nafta i naftni derivati ​​(isključujući dio biogoriva),Postotak,96.591
2015,Ovisnost o uvozu energije,Nafta i naftni derivati ​​(isključujući dio biogoriva),Postotak,104.76
2016,Ovisnost o uvozu energije,Nafta i naftni derivati ​​(isključujući dio biogoriva),Postotak,104.837
2017,Ovisnost o uvozu energije,Nafta i naftni derivati ​​(isključujući dio biogoriva),Postotak,100.316
2018,Ovisnost o uvozu energije,Nafta i naftni derivati ​​(isključujući dio biogoriva),Postotak,97.049
2019,Ovisnost o uvozu energije,Nafta i naftni derivati ​​(isključujući dio biogoriva),Postotak,93.188
2020,Ovisnost o uvozu energije,Nafta i naftni derivati ​​(isključujući dio biogoriva),Postotak,99.811
2021,Ovisnost o uvozu energije,Nafta i naftni derivati ​​(isključujući dio biogoriva),Postotak,96.236
2022,Ovisnost o uvozu energije,Nafta i naftni derivati ​​(isključujući dio biogoriva),Postotak,99.965
2023,Ovisnost o uvozu energije,Nafta i naftni derivati ​​(isključujući dio biogoriva),Postotak,99.93
2024,Ovisnost o uvozu energije,Nafta i naftni derivati ​​(isključujući dio biogoriva),Postotak,100.346
2014,Ovisnost o uvozu energije,Prirodni gas,Postotak,100.0
2015,Ovisnost o uvozu energije,Prirodni gas,Postotak,100.0
2016,Ovisnost o uvozu energije,Prirodni gas,Postotak,100.0
2017,Ovisnost o uvozu energije,Prirodni gas,Postotak,100.0
2018,Ovisnost o uvozu energije,Prirodni gas,Postotak,100.011
2019,Ovisnost o uvozu energije,Prirodni gas,Postotak,100.0
2020,Ovisnost o uvozu energije,Prirodni gas,Postotak,100.0
2021,Ovisnost o uvozu energije,Prirodni gas,Postotak,100.021
2022,Ovisnost o uvozu energije,Prirodni gas,Postotak,99.979
2023,Ovisnost o uvozu energije,Prirodni gas,Postotak,100.003
2024,Ovisnost o uvozu energije,Prirodni gas,Postotak,100.012
